,divsRank,finalRank,seedTime,divsTime,distance,improvement,improveZscore
34,19,24,50.03,49.38,50,-0.012999999999999972,0.17752502798984807
35,20,19,53.06,49.92,50,-0.06280000000000001,-0.6264837384120658
36,21,23,52.04,50.17,50,-0.03739999999999995,-0.2164069780383982
37,22,22,51.96,50.51,50,-0.029000000000000057,-0.08079104153687243
38,23,20,52.69,51.03,50,-0.03319999999999993,-0.14859900978763418
39,24,21,52.31,52.14,50,-0.003400000000000034,0.33251466970587856
40,1,1,31.0,34.58,50,0.07159999999999997,1.5433712456123745
41,2,2,31.99,36.98,50,0.09979999999999997,1.9986533181532171
42,3,3,37.89,38.49,50,0.012000000000000028,0.5811438866253467
43,4,4,38.79,39.8,50,0.02019999999999996,0.7135308722577892
44,5,5,43.53,42.64,50,-0.01780000000000001,0.10003020713183172
45,6,6,44.54,44.29,50,-0.005,0.30668306275320717
46,7,8,47.1,44.86,50,-0.04480000000000004,-0.33587816019450734
47,8,7,40.4,44.88,50,0.08960000000000008,1.8339768238299354
48,9,9,44.5,44.92,50,0.008400000000000034,0.523022770981835
49,10,12,53.5,45.28,50,-0.1644,-2.266790779906732
50,11,10,45.34,45.36,50,0.00039999999999992044,0.3938647362184736
51,12,11,48.78,48.43,50,-0.007000000000000029,0.2743935540623669
52,13,15,36.0,48.66,50,0.2531999999999999,4.475258634740636
53,14,14,53.19,48.87,50,-0.0864,-1.0074999409639764
54,15,13,51.99,49.28,50,-0.05420000000000002,-0.48763885104145444
55,16,17,49.84,50.85,50,0.02019999999999996,0.7135308722577892
56,17,16,52.06,52.18,50,0.002399999999999949,0.426154244909314
57,18,18,52.03,53.13,50,0.02200000000000003,0.7425914300795463
58,19,20,52.44,53.38,50,0.018800000000000098,0.6909282161742034
59,20,19,59.2,53.85,50,-0.10700000000000003,-1.3400818804796277
60,21,23,55.69,54.15,50,-0.030799999999999984,-0.10985159935862715
61,23,22,56.84,54.96,50,-0.03760000000000005,-0.21963592890748385
62,24,21,59.07,55.51,50,-0.07120000000000004,-0.7620996749135939
63,1,1,34.41,35.64,50,0.02460000000000008,0.7845677913776389
64,2,2,34.91,36.64,50,0.03460000000000008,0.9460153348318384
65,3,3,33.83,36.71,50,0.057600000000000054,1.3173446847764967
66,4,4,40.3,39.62,50,-0.013599999999999994,0.16783817538259574
67,5,6,41.63,41.4,50,-0.00460000000000008,0.31314096449137385
68,6,5,42.94,42.06,50,-0.017599999999999907,0.10325915800091737
69,7,7,42.5,44.45,50,0.039000000000000055,1.0170522539516857
70,8,8,41.56,45.35,50,0.07579999999999998,1.6111792138631384
71,10,9,47.67,47.11,50,-0.011200000000000045,0.2065855858116028
72,11,14,46.93,47.24,50,0.006200000000000046,0.4875043114219113
73,12,11,51.44,47.57,50,-0.07739999999999995,-0.8621971518551962
74,13,12,49.52,47.61,50,-0.038200000000000074,-0.2293227815147362
75,14,13,49.23,47.74,50,-0.029799999999999896,-0.0937068450132058
76,15,10,56.59,50.52,50,-0.12140000000000001,-1.5725663430536747
77,17,16,52.69,51.54,50,-0.022999999999999972,0.016077484535648615
78,18,15,51.35,52.15,50,0.015999999999999945,0.6457229040070251
79,19,19,51.8,52.32,50,0.010400000000000062,0.5553122796726754
80,20,20,55.06,52.72,50,-0.04680000000000007,-0.3681676688853477
81,21,17,54.68,53.32,50,-0.027199999999999988,-0.05173048371511542
82,22,18,56.19,54.13,50,-0.0411999999999999,-0.2777570445509933
83,24,22,59.5,58.48,50,-0.020400000000000064,0.05805384583373899
84,25,21,56.83,61.3,50,0.08939999999999998,1.8307478729608497
85,26,23,58.0,62.52,50,0.09040000000000006,1.8468926273062711
86,1,1,32.9,30.9,50,-0.04,-0.25838333933649094
87,2,3,35.15,34.61,50,-0.010799999999999983,0.21304348754977176
88,3,2,38.21,35.24,50,-0.05939999999999998,-0.5715915736376376
89,4,4,35.35,35.27,50,-0.0015999999999999658,0.36157522752763555
90,5,5,40.47,38.39,50,-0.04159999999999996,-0.2842149462891622
91,6,7,39.3,40.27,50,0.01940000000000012,0.7006150687814557
92,7,10,40.98,41.29,50,0.006200000000000046,0.4875043114219113
93,8,9,44.47,41.41,50,-0.061200000000000046,-0.6006521314593946
94,9,6,42.76,41.54,50,-0.024399999999999977,-0.006525171547939395
95,10,8,40.95,42.46,50,0.03019999999999996,0.8749784157119886
96,11,11,50.97,43.19,50,-0.15560000000000002,-2.124716941667037
97,12,15,45.44,44.22,50,-0.024399999999999977,-0.006525171547939395
98,13,17,47.41,44.92,50,-0.0497999999999999,-0.4166019319216048
99,14,19,57.69,45.36,50,-0.24659999999999996,-3.593889587100251
100,15,13,43.25,45.78,50,0.05060000000000002,1.2043314043585565
101,16,18,,46.59,50,,
102,17,12,47.27,46.8,50,-0.00940000000000012,0.23564614363335748
103,18,16,53.88,47.77,50,-0.12219999999999999,-1.5854821465300102
104,19,14,51.19,48.0,50,-0.06379999999999995,-0.6426284927574849
105,20,23,49.13,49.1,50,-0.0006000000000000227,0.37771998187305456
106,21,20,51.75,50.4,50,-0.027000000000000027,-0.048501532846032064
107,22,21,51.5,51.25,50,-0.005,0.30668306275320717
108,23,24,59.03,54.31,50,-0.09439999999999998,-1.1366579757273356
109,24,22,60.5,54.76,50,-0.11480000000000004,-1.4660109643739034
110,1,1,31.6,31.41,50,-0.0038000000000000256,0.3260567679677107
111,2,2,34.94,33.05,50,-0.037800000000000014,-0.22286487977656727
112,3,3,36.26,34.29,50,-0.03939999999999998,-0.24869648672923858
113,4,4,38.71,37.46,50,-0.025,-0.01621202415519175
114,5,6,42.25,40.1,50,-0.04299999999999997,-0.30681760237275024
115,6,5,42.08,40.42,50,-0.03319999999999993,-0.14859900978763418
116,7,9,41.7,40.84,50,-0.01719999999999999,0.10971705973908402
117,8,7,44.31,42.49,50,-0.03640000000000001,-0.20026222369297925
118,9,10,44.03,43.01,50,-0.020400000000000064,0.05805384583373899
119,10,8,45.1,43.09,50,-0.04019999999999996,-0.26161229020557425
120,11,11,43.11,43.58,50,0.009399999999999978,0.5391675253272541
121,12,12,45.75,43.88,50,-0.03739999999999995,-0.2164069780383982
122,13,17,42.09,44.35,50,0.04519999999999996,1.1171497308932878
123,14,13,45.47,44.55,50,-0.018400000000000034,0.09034335452457935
124,15,18,47.38,45.47,50,-0.038200000000000074,-0.2293227815147362
125,16,15,47.3,45.56,50,-0.0347999999999999,-0.1744306167403056
126,17,14,46.59,46.63,50,0.0007999999999999829,0.4003226379566426
127,18,16,46.88,46.93,50,0.0009999999999999432,0.40355158882572595
128,19,20,59.26,47.1,50,-0.24319999999999994,-3.538997422325823
129,20,19,48.98,47.13,50,-0.03699999999999989,-0.20994907630022927
130,21,21,54.19,47.2,50,-0.1397999999999999,-1.8696298230094
131,22,22,51.32,50.02,50,-0.025999999999999943,-0.03235677850061076
132,23,24,56.31,51.05,50,-0.1052000000000001,-1.311021322657873
133,24,23,53.9,51.62,50,-0.04560000000000002,-0.348793963670843
134,1,1,32.78,29.81,50,-0.05940000000000005,-0.5715915736376387
135,2,2,32.1,30.71,50,-0.027800000000000012,-0.061417336322367774
136,3,4,32.0,31.53,50,-0.009399999999999978,0.23564614363335978
137,4,3,31.96,32.19,50,0.0045999999999999375,0.46167270446923764
138,5,6,34.12,33.57,50,-0.010999999999999944,0.20981453668068842
139,6,5,32.6,33.59,50,0.01980000000000004,0.7070729705196225
140,7,7,33.0,34.32,50,0.026400000000000007,0.8136283491993936
141,8,8,35.28,34.45,50,-0.016599999999999965,0.11940391234633638
142,9,9,36.13,35.54,50,-0.011800000000000067,0.19689873320435047
143,10,10,38.85,35.9,50,-0.05900000000000006,-0.5651336718994708
144,11,11,38.23,37.44,50,-0.015799999999999984,0.13231971582267202
145,12,12,39.16,38.59,50,-0.011399999999999863,0.20335663494252174
146,13,13,43.1,40.23,50,-0.05740000000000009,-0.5393020649467994
147,14,14,43.4,40.75,50,-0.05299999999999997,-0.4682651458269497
148,15,16,43.26,42.71,50,-0.010999999999999944,0.20981453668068842
149,16,15,45.67,43.93,50,-0.03480000000000004,-0.17443061674030783
150,17,21,46.06,44.51,50,-0.031000000000000087,-0.1130805502277128
151,18,22,50.04,44.64,50,-0.10799999999999997,-1.3562266348250467
152,19,17,48.75,45.2,50,-0.07099999999999994,-0.7588707240445083
153,20,23,45.31,45.46,50,0.0029999999999999714,0.4358410975165663
154,22,20,48.84,47.52,50,-0.026400000000000007,-0.038814680238779764
155,23,18,46.6,47.67,50,0.021400000000000006,0.7329045774722938
156,24,19,46.8,47.96,50,0.023200000000000075,0.7619651352940509
157,1,1,85.78,81.14,100,-0.046400000000000004,-0.3617097671471786
158,2,3,84.13,84.9,100,0.007700000000000103,0.5117214429400422
159,3,2,89.36,87.88,100,-0.01480000000000004,0.14846447016809106
160,4,4,92.64,91.82,100,-0.008200000000000074,0.25501984884786216
161,5,5,90.91,93.97999999999999,100,0.030699999999999932,0.8830507928846982
162,6,6,95.28999999999999,95.94,100,0.006500000000000057,0.49234773772553747
163,7,7,105.89,101.44,100,-0.044500000000000026,-0.33103473389088106
164,8,8,103.28,107.21000000000001,100,0.03930000000000007,1.0218956802553119
165,1,1,87.09,84.0,100,-0.030900000000000035,-0.11146607479316997
166,2,2,94.9,90.55,100,-0.04350000000000009,-0.31488997954546216
167,4,3,101.13,96.66,100,-0.04469999999999999,-0.3342636847599645
168,5,4,98.91,100.09,100,0.011800000000000067,0.5779149357562634
169,6,5,104.97999999999999,101.81,100,-0.031699999999999874,-0.12438187826950334
170,7,6,105.9,107.6,100,0.016999999999999887,0.6618676583524442
171,8,7,120.39,112.25999999999999,100,-0.0813000000000001,-0.9251616938023363
172,1,2,81.15,80.83,100,-0.003200000000000074,0.3357436205749619
173,2,1,84.3,82.95,100,-0.013499999999999943,0.16945265081713856
174,3,3,92.5,91.13,100,-0.013700000000000045,0.16622369994805292
175,4,4,92.63,94.53,100,0.01900000000000006,0.6941571670432868
176,5,6,97.96000000000001,95.47999999999999,100,-0.024800000000000183,-0.012983073286110695
177,6,7,96.44,96.7,100,0.002600000000000051,0.42938319577839956
178,7,5,100.84,98.36,100,-0.02480000000000004,-0.012983073286108399
179,9,8,77.36,103.27000000000001,100,0.2591000000000001,4.570512685378617
180,1,1,77.94,76.42,100,-0.01519999999999996,0.14200656842992437
181,2,2,102.94,96.86,100,-0.060799999999999986,-0.5941942297212256
182,3,3,100.25,98.3,100,-0.019500000000000028,0.07258412474461752
183,4,4,104.38,103.58,100,-0.007999999999999972,0.2582487997169478
184,5,5,115.0,105.24000000000001,100,-0.09759999999999991,-1.1883211896326784
185,6,7,113.75,111.08,100,-0.026700000000000015,-0.043658106542405886
186,7,6,114.38,111.94,100,-0.024399999999999977,-0.006525171547939395
187,8,8,140.93,119.03,100,-0.21900000000000006,-3.1482943671666623
188,1,1,73.25,68.32,100,-0.049300000000000066,-0.40852955474889746
189,2,2,72.34,77.02,100,0.046799999999999925,1.1429813378459592
190,3,4,96.15,85.5,100,-0.10650000000000005,-1.3320095033069181
191,4,3,91.61,85.74,100,-0.058700000000000044,-0.5602902455958446
192,5,5,92.44,87.58,100,-0.0486,-0.3972282267071024
193,6,6,91.28,88.16,100,-0.031200000000000047,-0.11630950109679615
194,7,7,98.94,95.53,100,-0.034099999999999964,-0.16312928869851265
195,8,8,104.25999999999999,101.5,100,-0.02759999999999991,-0.05818838545328212
196,1,2,71.24,70.6,100,-0.0064000000000000055,0.28408040666961915
197,2,1,71.2,72.24,100,0.01039999999999992,0.5553122796726732
198,3,4,78.69,75.56,100,-0.03129999999999995,-0.11792397653133663
199,4,3,77.22,77.03,100,-0.0018999999999999772,0.3567318012240094
200,5,5,100.22999999999999,81.81,100,-0.18419999999999986,-2.586456915946045
201,6,6,85.01,85.92,100,0.009099999999999966,0.5343240990236279
202,8,7,92.8,92.58,100,-0.0021999999999999884,0.3518883749203833
203,9,8,101.28,96.53,100,-0.0475,-0.37946899692714053
204,1,1,33.34,33.26,50,-0.001600000000000108,0.36157522752763327
205,2,2,33.53,33.62,50,0.001799999999999926,0.41646739230206165
206,3,4,32.24,33.71,50,0.029399999999999978,0.8620626122356531
207,4,3,32.96,33.73,50,0.01539999999999992,0.6360360513997728
208,5,5,37.99,34.19,50,-0.07600000000000008,-0.8395944957716103
209,7,6,40.3,36.97,50,-0.06659999999999996,-0.687833804924661
210,8,7,44.94,39.88,50,-0.1011999999999999,-1.24644230527619
211,9,8,42.2,43.82,50,0.03239999999999995,0.9104968752719124
212,10,9,44.1,44.93,50,0.016599999999999965,0.6554097566142774
213,11,10,46.9,47.29,50,0.007800000000000012,0.5133359183745827
214,12,11,50.09,49.33,50,-0.015200000000000102,0.1420065684299221
215,13,12,55.3,59.16,50,0.07719999999999999,1.6337818699467266
216,1,1,31.2,32.63,50,0.028600000000000066,0.8491468087593185
217,2,2,34.28,34.95,50,0.013400000000000033,0.6037465427089348
218,3,3,38.64,35.78,50,-0.05719999999999999,-0.5360731140777137
219,4,4,36.7,37.26,50,0.011199999999999903,0.5682280831490087
220,5,5,35.47,37.45,50,0.03960000000000008,1.026739106558938
221,6,7,40.45,38.51,50,-0.0388000000000001,-0.23900963412198856
222,7,6,38.23,38.67,50,0.008800000000000096,0.5294806727200041
223,8,8,43.63,40.82,50,-0.05620000000000005,-0.5199283597322948
224,9,9,45.44,42.41,50,-0.06060000000000002,-0.5909652788521421
225,10,10,47.5,49.15,50,0.032999999999999974,0.9201837278791647
226,11,11,55.78,49.79,50,-0.11980000000000005,-1.5467347361010033
227,12,13,57.0,53.23,50,-0.07540000000000006,-0.829907643164358
228,13,14,58.0,59.38,50,0.02760000000000005,0.8330020544138983
229,14,12,64.36,61.22,50,-0.06280000000000001,-0.6264837384120658
230,1,1,30.74,32.08,50,0.026799999999999997,0.8200862509375614
231,2,4,34.84,34.61,50,-0.00460000000000008,0.31314096449137385
232,3,2,35.16,35.8,50,0.012800000000000011,0.5940596901016825
233,4,3,36.52,36.11,50,-0.008200000000000074,0.25501984884786216
234,5,5,41.73,36.85,50,-0.09759999999999991,-1.1883211896326784
235,6,8,43.18,41.42,50,-0.03519999999999996,-0.18088851847847454
236,7,7,46.4,43.86,50,-0.050799999999999984,-0.43274668626702606
237,8,6,55.9,44.97,50,-0.2186,-3.141836465428493
238,9,10,51.26,51.7,50,0.008800000000000096,0.5294806727200041
239,10,9,54.41,52.47,50,-0.03879999999999995,-0.23900963412198623
240,1,1,30.12,27.4,50,-0.054400000000000046,-0.49086780191053886
241,2,2,28.96,29.18,50,0.004399999999999977,0.4584437536001543
242,3,3,36.15,35.07,50,-0.021599999999999966,0.03868014061923663
243,4,4,36.1,37.04,50,0.018799999999999956,0.6909282161742012
244,5,5,39.6,38.36,50,-0.02480000000000004,-0.012983073286108399
245,6,6,43.03,40.86,50,-0.043400000000000036,-0.3132755041109193
246,7,7,44.41,42.04,50,-0.04739999999999995,-0.3778545214925977
247,8,8,47.79,43.1,50,-0.09379999999999995,-1.1269711231200832
248,9,9,55.72,66.62,50,0.2180000000000001,3.9069632817818567
249,1,1,30.68,28.39,50,-0.04579999999999998,-0.3520229145399263
250,2,2,32.5,30.27,50,-0.04460000000000001,-0.3326492093254228
251,3,3,31.47,30.32,50,-0.022999999999999972,0.016077484535648615
252,4,5,31.81,31.23,50,-0.011599999999999966,0.2001276840734361
253,5,4,29.89,31.54,50,0.032999999999999974,0.9201837278791647
254,6,6,33.85,32.18,50,-0.033400000000000034,-0.15182796065671983
255,7,8,34.72,34.34,50,-0.007599999999999909,0.2647067014551168
256,8,7,33.77,34.87,50,0.021999999999999888,0.7425914300795439
257,9,9,37.97,36.15,50,-0.03640000000000001,-0.20026222369297925
258,10,10,44.12,41.69,50,-0.0486,-0.3972282267071024
259,11,11,45.12,42.3,50,-0.056400000000000006,-0.5231573106013782
260,1,1,26.81,27.3,50,0.00980000000000004,0.545625427065423
261,2,2,32.16,30.07,50,-0.04179999999999993,-0.28744389715824564
262,3,4,29.66,30.28,50,0.01240000000000002,0.5876017883635146
263,4,3,33.24,32.04,50,-0.024000000000000056,-6.726980977268773e-05
264,5,5,35.69,32.85,50,-0.05679999999999993,-0.5296152123395448
265,6,6,39.22,38.63,50,-0.011799999999999927,0.19689873320435275
266,7,7,41.94,40.41,50,-0.030600000000000023,-0.1066226484895438
267,8,8,40.89,45.77,50,0.09760000000000005,1.9631348585932944
268,1,1,64.0,67.45,100,0.03450000000000003,0.9444008593972956
269,2,2,70.9,68.23,100,-0.026700000000000015,-0.043658106542405886
270,3,3,77.1,77.12,100,0.00020000000000010233,0.3906357853493926
271,4,4,76.9,78.5,100,0.015999999999999945,0.6457229040070251
272,5,5,82.31,81.23,100,-0.010799999999999983,0.21304348754977176
273,6,8,85.16,81.77,100,-0.033900000000000007,-0.15990033782942936
274,7,6,86.43,83.89,100,-0.02540000000000006,-0.0226699258933607
275,8,7,82.65,84.03999999999999,100,0.013899999999999864,0.6118189198816419
276,1,1,62.12,63.05,100,0.009299999999999998,0.5375530498927124
277,3,2,62.0,67.86,100,0.05859999999999999,1.3334894391219154
278,4,3,75.41,72.7,100,-0.027099999999999937,-0.05011600828057259
279,5,4,80.09,76.09,100,-0.04,-0.25838333933649094
280,6,5,100.0,80.98,100,-0.19019999999999995,-2.683325442018566
281,8,6,82.47,82.58,100,0.0010999999999999942,0.40516606426026874
282,9,7,95.3,84.61,100,-0.10689999999999998,-1.338467405045085
283,10,8,91.25,87.55,100,-0.037000000000000026,-0.2099490763002315
284,1,1,74.47,67.4,100,-0.07069999999999993,-0.7540272977408821
285,2,2,72.41,70.6,100,-0.018100000000000022,0.09518678082820553
286,3,3,77.84,75.36,100,-0.02480000000000004,-0.012983073286108399
287,4,4,110.72,81.11,100,-0.2961,-4.393054927198539
288,6,5,87.63,83.64,100,-0.03989999999999995,-0.2567688639019481
289,7,7,91.12,85.91,100,-0.05210000000000008,-0.4537348669160735
290,8,6,88.07,86.17,100,-0.018999999999999916,0.0806565019173293
291,1,1,64.71,60.89,100,-0.03819999999999993,-0.22932278151473387
292,2,2,66.75,65.18,100,-0.015699999999999933,0.13393419125721484
293,3,3,70.3,66.11,100,-0.04189999999999998,-0.2890583725927885
294,4,4,71.03,68.61,100,-0.024200000000000017,-0.003296220678856041
295,5,6,84.68,78.52,100,-0.061600000000000106,-0.6071100331975635
296,6,7,81.94,80.43,100,-0.015099999999999909,0.1436210438644672
297,7,5,86.22,81.18,100,-0.05039999999999992,-0.426288784528857
298,8,8,88.12,81.78999999999999,100,-0.06330000000000012,-0.6345561155847776
299,1,1,53.0,53.07,100,0.0007000000000000028,0.39870816252210095
300,2,2,62.16,60.02,100,-0.021399999999999933,0.04190909148832116
301,3,3,71.98,65.93,100,-0.06049999999999997,-0.5893508034175994
302,4,4,72.9,68.32,100,-0.045800000000000125,-0.3520229145399286
303,5,5,75.81,68.49,100,-0.07320000000000007,-0.7943891836044342
304,6,8,74.69,72.22,100,-0.02469999999999999,-0.011368597851565573
305,7,6,77.32,72.76,100,-0.045599999999999884,-0.34879396367084076
306,8,7,81.0,74.33,100,-0.06670000000000002,-0.6894482803592038
307,1,1,53.52,57.56,100,0.04039999999999999,1.0396549100352726
308,2,2,57.29,58.78,100,0.014900000000000019,0.6279636742270643
309,3,4,60.98,59.14,100,-0.01839999999999996,0.09034335452458053
310,4,5,65.94,59.83,100,-0.061099999999999995,-0.5990376560248517
311,5,2,61.59,60.13,100,-0.014600000000000009,0.15169342103717556
312,6,6,75.68,66.02,100,-0.0966000000000001,-1.1721764352872615
313,7,7,71.78,70.03,100,-0.0175,0.10487363343545784
314,8,8,76.16,71.94,100,-0.04219999999999999,-0.2939017988964146
315,2,1,154.81,163.84,200,0.04515,1.1163424931760173
316,3,2,167.06,165.25,200,-0.009050000000000011,0.24129680765425623
317,4,3,177.89,178.35,200,0.00230000000000004,0.4245397694747734
318,5,4,181.78,179.57,200,-0.011050000000000039,0.20900729896341588
319,6,5,187.7,185.93,200,-0.008849999999999908,0.24452575852334188
320,8,7,191.31,190.73,200,-0.0029000000000000627,0.3405870468785881
321,9,6,197.28,191.52,200,-0.028799999999999954,-0.07756209066778678
322,11,8,244.56,224.39,200,-0.10085000000000008,-1.240791641255296
323,1,1,143.0,133.95,200,-0.045250000000000054,-0.3431432996499465
324,2,2,145.71,149.93,200,0.021099999999999994,0.7280611511686677
325,3,3,146.0,149.94,200,0.01969999999999999,0.7054584950850796
326,4,4,152.32999999999998,169.4,200,0.0853500000000001,1.765361617861901
327,5,5,170.75,178.0,200,0.03625,0.9726541795017799
328,6,6,241.68,223.9,200,-0.0889,-1.0478618268275264
329,1,2,79.22,75.14,100,-0.04079999999999998,-0.2712991428128266
330,2,1,80.08,77.18,100,-0.028999999999999915,-0.08079104153687014
331,3,3,79.39,78.66,100,-0.00730000000000004,0.26955012775874065
332,4,4,78.66,80.82,100,0.021599999999999966,0.7361335283413772
333,5,5,94.63,91.16,100,-0.03469999999999999,-0.172816141305765
334,6,6,100.44,100.78,100,0.003400000000000034,0.4422989992547353
335,7,8,106.53,108.28,100,0.0175,0.669940035525156
336,8,7,117.47,117.66,100,0.0018999999999999772,0.41808186773660444
337,1,1,78.71000000000001,76.93,100,-0.01780000000000001,0.10003020713183172
338,2,2,85.03,80.57,100,-0.04460000000000008,-0.3326492093254239
339,3,3,82.0,81.25,100,-0.0075,0.26632117688965734
340,4,4,83.94,85.0,100,0.010600000000000023,0.5585412305417587
341,5,7,94.5,88.33,100,-0.06170000000000002,-0.608724508632104
342,6,5,88.75,88.93,100,0.0018000000000000683,0.4164673923020639
343,7,6,89.0,89.06,100,0.0006000000000000227,0.39709368708755927
344,8,8,116.03,108.78999999999999,100,-0.07240000000000009,-0.7814733801280986
345,1,1,73.0,74.55,100,0.015499999999999972,0.6376505268343157
346,2,2,87.28,83.74,100,-0.03540000000000006,-0.18411746934756018
347,3,3,90.28,88.9,100,-0.013799999999999955,0.1646092245135124
348,4,4,89.81,89.18,100,-0.006299999999999955,0.285694882104162
349,5,5,101.94,100.77000000000001,100,-0.011699999999999875,0.19851320863889557
350,6,6,120.36,119.63,100,-0.00730000000000004,0.26955012775874065
351,8,7,132.66,135.55,100,0.028900000000000148,0.8539902350629457
352,1,1,73.07,68.42,100,-0.046499999999999916,-0.3633242425817192
353,2,2,89.85,82.8,100,-0.07049999999999997,-0.7507983468717987
354,3,3,83.88,84.92,100,0.010400000000000062,0.5553122796726754
355,4,5,101.38,93.21000000000001,100,-0.08169999999999987,-0.9316195955405006
356,5,4,95.77000000000001,93.34,100,-0.024300000000000068,-0.004910696113398866
357,6,6,97.47,94.68,100,-0.02789999999999992,-0.06303181175690831
358,7,7,97.0,100.18,100,0.03180000000000007,0.9008100226646624
359,1,1,66.12,63.59,100,-0.02530000000000001,-0.021055450458817876
360,2,2,73.9,65.28,100,-0.08620000000000004,-1.0042709900948932
361,3,3,72.83,68.12,100,-0.04709999999999994,-0.3730110951889716
362,4,4,79.69,72.3,100,-0.07390000000000001,-0.8056905116462272
363,5,5,79.5,72.72,100,-0.06780000000000001,-0.7072075101391656
364,6,6,85.18,81.76,100,-0.034200000000000015,-0.16474376413305547
365,1,2,67.11,68.63,100,0.01519999999999996,0.6328071005306896
366,2,1,68.76,68.9,100,0.0014000000000000056,0.4100094905638949
367,3,3,74.77,71.02,100,-0.0375,-0.21802145347294102
368,4,6,75.66,73.69,100,-0.01969999999999999,0.06935517387553417
369,5,4,81.31,75.48,100,-0.058299999999999984,-0.5538323438576757
370,6,7,78.03,75.86,100,-0.021700000000000018,0.037065665184693806
371,7,5,76.03,76.58,100,0.005499999999999972,0.47620298338011613
372,8,8,84.73,79.85,100,-0.04880000000000009,-0.40045717757618793
373,1,1,32.78,30.46,50,-0.046400000000000004,-0.3617097671471786
