divsRank,school,year,points,divsSpeed,isRelay,divsTimePctOfMean,divsSpeedDiffFromMean,clipped_divsRank
1,26,2017,20,1.446759259259259,False,0.8652212237063772,0.18021191032895856,1
2,33,2017,16,1.4354410392593127,False,0.8720433528574184,0.16889369032901214,2
3,3,2017,18,1.4302059496567505,False,0.8752353582400159,0.16365860072645,3
4,3,2017,14,1.322226629644321,False,0.9467112434738615,0.05567928071402051,4
5,45,2017,12,1.2085322375974379,False,1.0357744524824102,-0.058015111332862634,5
6,5,2017,11,1.162925921618793,False,1.0763942856844817,-0.10362142731150747,6
7,49,2017,0,1.099323915791788,False,1.1386696848155469,-0.1672234331385125,7
8,30,2017,9,1.0366454154356501,False,1.2075168597343124,-0.22990193349465038,8
1,16,2016,20,1.4742739200943535,False,0.8490734317708849,0.20772657116405302,1
2,3,2016,18,1.4493803898833248,False,0.8636565151854962,0.18283304095302433,2
3,43,2016,16,1.3571283164823233,False,0.9223643788889526,0.09058096755202283,3
4,55,2016,14,1.3142331449599158,False,0.9524693708307037,0.04768579602961531,4
5,45,2016,12,1.2305420537746878,False,1.0172483035951785,-0.03600529515561268,5
6,3,2016,11,1.145475372279496,False,1.092792430983315,-0.1210719766508046,6
7,49,2016,10,1.1208877430925293,False,1.1167637655232125,-0.14565960583777127,7
8,55,2016,9,1.077179942909463,False,1.1620777242879272,-0.18936740602083746,8
1,3,2018,20,1.5451174289245984,False,0.8101434837713647,0.27857007999429784,1
2,35,2018,18,1.3194352816994328,False,0.9487140703805891,0.052887932769132284,2
3,30,2018,16,1.264142595284748,False,0.9902101403543543,-0.002404753645552482,3
4,48,2018,14,1.2197353174361163,False,1.0262610246754533,-0.046812031494184225,4
5,33,2018,11,1.2152883271556176,False,1.0300163251255678,-0.05125902177468289,5
6,43,2018,12,1.2055455093429777,False,1.038340574456655,-0.06100183958732286,6
7,49,2018,0,1.1835019823658204,False,1.0576803717747445,-0.08304536656448014,7
8,42,2018,10,1.1332086803784915,False,1.1046216274011755,-0.13333866855180898,8
1,3,2017,20,1.6924769400016924,False,0.7770699589830424,0.35182719625548886,1
2,3,2017,14,1.4543339150668992,False,0.9043129454121012,0.11368417132069575,2
3,52,2017,18,1.4316392269148175,False,0.9186483309632818,0.090989483168614,3
4,46,2017,16,1.4006583094054206,False,0.9389677536023409,0.060008565659217084,4
5,26,2017,12,1.3979171035157616,False,0.9408089957832264,0.0572673597695581,5
6,36,2017,11,1.2856775520699408,False,1.022941548780588,-0.05497219167626266,6
7,52,2017,10,1.1587485515643106,False,1.1349942872173404,-0.18190119218189293,7
8,33,2017,9,1.065019436604718,False,1.2348816755303844,-0.2756303071414854,8
1,3,2016,20,1.4964459408903852,False,0.8788643481262894,0.1557961971441817,1
2,26,2016,18,1.4893141708243356,False,0.8830729016825992,0.1486644270781321,2
3,27,2016,14,1.4405070584845865,False,0.9129930871219905,0.099857314738383,3
4,49,2016,16,1.3958682300390843,False,0.9421899274188907,0.05521848629288084,4
5,29,2016,11,1.3781697905181918,False,0.9542895188932818,0.03752004677198828,5
6,3,2016,10,1.371177841766077,False,0.9591556589427652,0.03052809801987344,6
7,30,2016,12,1.344628210299852,False,0.9780941499461601,0.003978466553648419,7
8,17,2016,9,1.2809837955549863,False,1.0266897917916764,-0.05966594819121718,8
1,3,2018,20,1.7111567419575633,False,0.7685870932211051,0.3705069982113598,1
2,33,2018,18,1.4998125234345707,False,0.8768915886467691,0.15916277968836723,2
3,26,2018,0,1.2456402590931739,False,1.0558208734392593,-0.09500948465302961,3
4,45,2018,14,1.2433171702101204,False,1.0577936329187798,-0.09733257353608304,4
5,52,2018,16,1.2076565424793189,False,1.0890289913445177,-0.13299320126688463,5
6,36,2018,12,1.1896264572924102,False,1.1055344123231707,-0.15102328645379326,6
7,10,2018,11,1.0185892538833716,False,1.29117107934603,-0.32206048986283187,7
8,36,2018,9,0.9762288280372919,False,1.3471974485644063,-0.36442091570891155,8
1,3,2017,20,1.5328019619865114,False,0.7283815797277918,0.4017012407450662,1
2,48,2017,18,1.4854426619132504,False,0.751604045789009,0.35434194067180513,2
3,35,2017,16,1.3986013986013985,False,0.7982722708543397,0.2675006773599533,3
4,52,2017,14,1.350621285791464,False,0.8266304746021723,0.21952056455001867,4
5,16,2017,10,1.2324377618930245,False,0.9058994693303654,0.10133704065157922,5
6,17,2017,12,1.2091898428053205,False,0.9233163188762783,0.07808912156387526,6
7,33,2017,8,1.2010569300984866,False,0.9295685212773752,0.06995620885704135,7
8,3,2017,11,1.1652295502213936,False,0.958150017968104,0.0341288289799484,8
9,26,2017,5,1.1425959780621573,False,0.9771299181142911,0.011495256820712063,9
10,18,2017,7,1.1410314924691922,False,0.978469675771669,0.009930771227746993,10
11,35,2017,6,1.1208249271463797,False,0.9961098182604782,-0.010275794095065516,11
12,48,2017,1,1.1135857461024499,False,1.0025853136044713,-0.01751497513899536,12
13,3,2017,9,1.1018069634200087,False,1.0133033748634948,-0.029293757821436506,13
14,26,2017,2,1.0307153164296021,False,1.0831940659900425,-0.1003854048118431,14
15,5,2017,0,1.029654036243822,False,1.0843105307045242,-0.10144668499762322,15
16,16,2017,0,1.0243802499487809,False,1.0898928542769322,-0.10672047129266438,16
17,49,2017,3,1.0199918400652794,False,1.094582006077755,-0.1111088811761658,17
18,3,2017,4,1.0141987829614605,False,1.1008342084788516,-0.11690193827998474,18
19,46,2017,0,1.012555690562981,False,1.1026205520220222,-0.11854503067846434,19
20,3,2017,0,1.001602564102564,False,1.1146783709384236,-0.12949815713888113,20
21,3,2017,0,0.9966115208291807,False,1.1202606945108315,-0.13448920041226453,21
22,42,2017,0,0.9899029895070284,False,1.1278526545693062,-0.14119773173441685,22
23,34,2017,0,0.9798157946306094,False,1.1394638875999148,-0.1512849266108358,23
24,49,2017,0,0.9589566551591868,False,1.1642494042614062,-0.1721440660822584,24
1,16,2016,20,1.4943215780035863,False,0.7471381869310827,0.3632208567621411,1
2,3,2016,14,1.2807377049180328,False,0.8717356490672286,0.14963698367658762,2
3,33,2016,16,1.2623074981065388,False,0.8844633468123188,0.13120677686509352,3
4,3,2016,18,1.2616704516780217,False,0.8849099326981115,0.1305697304365765,4
5,49,2016,11,1.2357884330202669,False,0.9034432469585059,0.10468771177882163,5
6,48,2016,12,1.224589762429586,False,0.9117050858456697,0.09348904118814083,6
7,30,2016,6,1.1619800139437602,False,0.9608295332828598,0.03087929270231493,7
8,38,2016,10,1.1355893708834885,False,0.9831588275724917,0.004488649642043319,8
9,45,2016,9,1.120322652924042,False,0.9965564041462709,-0.010778068317403244,9
10,30,2016,4,1.1106175033318524,False,1.0052648289192274,-0.020483217909592843,10
11,17,2016,5,1.1035091591260207,False,1.0117403242632206,-0.027591562115424573,11
12,26,2016,7,1.102779003087781,False,1.0124102030919095,-0.028321718153664133,12
13,46,2016,2,1.0862480990658265,False,1.0278174161517555,-0.044852622175618695,13
14,49,2016,1,1.0860121633362294,False,1.0280407090946517,-0.04508855790521582,14
15,3,2016,8,1.0857763300760044,False,1.028264002037548,-0.04532439116544085,15
16,52,2016,3,1.0848340203948794,False,1.0291571738091334,-0.04626670084656581,16
1,26,2018,20,1.3896609227348529,False,0.803408008540955,0.25856020149340764,1
2,53,2018,18,1.337613697164259,False,0.8346690205464398,0.2065129759228137,2
3,3,2018,16,1.2077294685990339,False,0.9244327835907598,0.07662874735758862,3
4,16,2018,14,1.2065637065637067,False,0.9253259553623451,0.07546298532226148,4
5,34,2018,11,1.2004801920768309,False,0.9300151071631678,0.06937947083538565,5
6,3,2018,9,1.154467790348649,False,0.9670817356839568,0.023367069107203875,6
7,3,2018,7,1.1494252873563218,False,0.9713243015989868,0.01832456611487654,7
8,3,2018,10,1.137138958380714,False,0.9818190699151137,0.006038237139268876,8
9,16,2018,12,1.1291779584462511,False,0.9887411511448997,-0.0019227627951940995,9
10,48,2018,0,1.1061946902654867,False,1.009284101891361,-0.02490603097595856,10
11,36,2018,8,1.105460977227504,False,1.00995398072005,-0.025639744013941312,11
12,3,2018,3,1.0981770261366133,False,1.0166527690069396,-0.03292369510483195,12
13,30,2018,6,1.0815487778498811,False,1.0322832750096818,-0.0495519433915641,13
14,27,2018,4,1.074575542660649,False,1.0389820632965714,-0.05652517858079631,14
15,48,2018,0,1.053740779768177,False,1.0595250140430328,-0.07735994147326819,15
16,46,2018,0,1.0530749789385005,False,1.0601948928717215,-0.07802574230294468,16
17,42,2018,1,1.0090817356205852,False,1.1064165320512596,-0.12201898562086,17
18,46,2018,0,1.0004001600640258,False,1.1160181285958013,-0.13070056117741946,18
19,3,2018,5,0.9877518767285658,False,1.1303088769411658,-0.14334884451287944,19
20,16,2018,2,0.9875567845151095,False,1.1305321698840622,-0.1435439367263357,20
21,3,2018,0,0.9782821365681863,False,1.1412502311430854,-0.15281858467325893,21
22,39,2018,0,0.9551098376313276,False,1.168938556062229,-0.1759908836101176,22
23,26,2018,0,0.9545628102329132,False,1.169608434890918,-0.176537911008532,23
24,16,2018,0,0.9419743782969103,False,1.18523894089366,-0.1891263429445349,24
1,3,2017,20,1.4459224985540775,False,0.7495850917539949,0.34102045936067005,1
2,42,2017,18,1.3520822065981613,False,0.8016095052938904,0.2471801674047538,2
3,52,2017,16,1.2990387113535982,False,0.8343415321460749,0.1941366721601907,3
4,49,2017,14,1.256281407035176,False,0.8627381912032677,0.15137936784176853,4
5,42,2017,12,1.172607879924953,False,0.9243004138921441,0.06770584073154562,5
6,45,2017,11,1.1289230074508918,False,0.9600671982008223,0.024020968257484343,6
7,16,2017,9,1.1145786892554614,False,0.9724229964165475,0.009676650062053982,7
8,38,2017,10,1.1140819964349375,False,0.9728565331960467,0.00917995724153009,8
9,5,2017,8,1.1130899376669634,False,0.973723606755045,0.008187898473555943,9
10,3,2017,5,1.1042402826855124,False,0.9815272687860292,-0.0006617565078950172,10
11,46,2017,7,1.1022927689594357,False,0.9832614159040258,-0.0026092702339717277,11
12,48,2017,6,1.0324179227751393,False,1.049809311557142,-0.07248411641826813,12
13,27,2017,2,1.0275380189066996,False,1.054794984521382,-0.07736402028670786,13
14,3,2017,3,1.0231225700838962,False,1.059347120706123,-0.08177946910951128,14
15,49,2017,4,1.0146103896103895,False,1.0682346246858552,-0.09029164958301794,15
16,49,2017,0,0.983284169124877,False,1.1022672618765368,-0.12161787006853042,16
17,27,2017,1,0.9582215408202377,False,1.131097457713229,-0.14668049837316977,17
18,43,2017,0,0.9410878976096367,False,1.1516904547394378,-0.16381414158377072,18
19,48,2017,0,0.9366804046459347,False,1.1571096644831769,-0.16822163454747274,19
20,36,2017,0,0.9285051067780873,False,1.1672977788014063,-0.17639693241532017,20
21,3,2017,0,0.9233610341643583,False,1.1738008304938932,-0.18154100502904913,21
22,48,2017,0,0.9226794611551947,False,1.1746679040528913,-0.18222257803821273,22
23,5,2017,0,0.9097525473071324,False,1.191359070063608,-0.19514949188627506,23
24,5,2017,0,0.9007386056566384,False,1.203281331499834,-0.20416343353676902,24
1,16,2016,20,1.5028554253080852,False,0.721188432696802,0.3979533861146778,1
2,3,2016,18,1.397428731134712,False,0.7755972985239428,0.29252669194130454,2
3,42,2016,16,1.3175230566534912,False,0.8226360390995984,0.21262101746008377,3
4,52,2016,14,1.3147515119642388,False,0.8243701862175948,0.20984947277083132,4
5,5,2016,12,1.1353315168029066,False,0.9546479884570832,0.0304294776094991,5
6,52,2016,11,1.1188185276348177,False,0.9687379337908049,0.013916488441410246,6
7,16,2016,6,1.1111111111111112,False,0.9754577538730415,0.006209071917703701,7
8,52,2016,9,1.103996467211305,False,0.9817440371757788,-0.0009055719821025043,8
9,55,2016,5,1.0838933448948622,False,0.9999525819147423,-0.02100869429854524,9
10,49,2016,0,1.0660980810234542,False,1.0166437479254586,-0.0388039581699533,10
11,5,2016,0,1.0613457864572278,False,1.0211958841101996,-0.04355625273617969,11
12,3,2016,10,1.0546298249314492,False,1.0276989358026865,-0.05027221426195827,12
13,16,2016,7,1.0524100189433805,False,1.0298666197001822,-0.05249202025002697,13
14,29,2016,0,1.027749229188078,False,1.0545782161316326,-0.07715281000532936,14
15,3,2016,8,1.0185373803218578,False,1.0641160252806134,-0.08636465887154965,15
16,38,2016,0,1.0175010175010175,False,1.0651998672293612,-0.08740102169238995,16
1,33,2018,18,1.5304560759106214,False,0.7081823293118281,0.4255540367172139,1
2,3,2018,20,1.528117359413203,False,0.7092661712605759,0.42321532021979547,2
3,3,2018,16,1.3808340237503451,False,0.784918339283174,0.2759319845569377,3
4,52,2018,14,1.3433637829124128,False,0.80681194664788,0.2384617437190053,4
5,16,2018,12,1.2693577050012694,False,0.8538506872235356,0.16445566580786197,5
6,26,2018,10,1.2303149606299213,False,0.8809467359422313,0.12541292143651384,6
7,3,2018,9,1.145475372279496,False,0.9461940212568501,0.04057333308608846,7
8,3,2018,8,1.136621959536258,False,0.9535641465083354,0.03171992034285065,8
9,16,2018,7,1.1279043537108053,False,0.9609342717598206,0.02300231451739787,9
10,48,2018,11,1.1261261261261262,False,0.9624516504880676,0.02122408693271871,10
11,49,2018,3,1.0813148788927336,False,1.0023370342019875,-0.02358716030067387,11
12,46,2018,5,1.079447322970639,False,1.004071181319984,-0.025454716222768514,12
13,39,2018,2,1.0362694300518134,False,1.04590748054165,-0.06863260914159408,13
14,30,2018,0,1.0158472165786265,False,1.0669340143473578,-0.08905482261478093,14
15,49,2018,1,1.0080645161290323,False,1.0751712131578413,-0.09683752306437521,15
16,3,2018,6,1.00080064051241,False,1.0829748751888255,-0.10410139868099755,16
17,34,2018,0,0.9790483649892304,False,1.1070361664510273,-0.12585367420417704,17
18,48,2018,0,0.9699321047526673,False,1.1174410491590063,-0.13496993444074012,18
19,3,2018,4,0.9580379383023568,False,1.1313142261029785,-0.14686410089105062,19
20,34,2018,0,0.9549274255156608,False,1.134999288728721,-0.14997461367774667,20
21,26,2018,0,0.9435742592942065,False,1.1486556972829438,-0.161327779899201,21
22,16,2018,0,0.940910801656003,False,1.1519072231291871,-0.1639912375374044,22
23,43,2018,0,0.9307520476545048,False,1.164479789734662,-0.17414999153890265,23
24,26,2018,0,0.90711175616836,False,1.194827364299601,-0.19779028302504742,24
1,3,2017,20,1.4029180695847363,False,0.7786999136279992,0.29142146010281333,1
2,16,2017,18,1.3646288209606987,False,0.8005489572202551,0.25313221147877574,2
3,3,2017,16,1.362026695723236,False,0.802078390271713,0.2505300862413131,3
4,48,2017,14,1.2619888944977284,False,0.8656591071251775,0.15049228501580547,4
5,26,2017,11,1.2077294685990339,False,0.904550404719393,0.09623285911711088,5
6,49,2017,12,1.1887779362815025,False,0.9189707734902819,0.07728132679957955,6
7,16,2017,10,1.124859392575928,False,0.9711899876757735,0.01336278309400507,7
8,3,2017,9,1.1025358324145533,False,0.9908541269088037,-0.00896077706736964,8
9,52,2017,0,1.0711225364181662,False,1.019913354886504,-0.04037407306375673,9
10,16,2017,8,1.0613457864572278,False,1.029308443631174,-0.0501508230246952,10
11,46,2017,3,1.0584250635055037,False,1.0321488192981674,-0.053071545976419277,11
12,3,2017,6,1.0510826150935464,False,1.0393590036836118,-0.06041399438837658,12
