divsRank,year,points,divsSpeed,isRelay,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
3,2018,16,1.264142595284748,False,Freestyle,0.9902101403543543,-0.002404753645552482,-0.07092536103209517,-0.014448940948878261,-0.06545791510726025,3
4,2018,14,1.2197353174361163,False,Freestyle,1.0262610246754533,-0.046812031494184225,0.1902552971745323,-0.2812696760050448,-0.25458714348643974,4
5,2018,11,1.2152883271556176,False,Freestyle,1.0300163251255678,-0.05125902177468289,0.2174616157377229,-0.3079893776601383,-0.2735267381003514,5
6,2018,12,1.2055455093429777,False,Freestyle,1.038340574456655,-0.06100183958732286,0.27776895521946154,-0.36652901206754224,-0.31502109903426073,6
7,2018,0,1.1835019823658204,False,Freestyle,1.0576803717747445,-0.08304536656448014,0.4178814958198916,-0.49897734838133334,-0.40890380137319365,7
8,2018,10,1.1332086803784915,False,Freestyle,1.1046216274011755,-0.13333866855180898,0.757960477859771,-0.8011642072651934,-0.6231014252385266,8
1,2017,20,1.6924769400016924,False,Freestyle,0.7770699589830425,0.3518271962554891,-1.6150786851229277,2.113950587955983,1.7588048640874616,1
2,2017,14,1.4543339150668992,False,Freestyle,0.9043129454121014,0.11368417132069597,-0.6932314801635624,0.6830703349895582,0.7445610569501397,2
3,2017,18,1.4316392269148175,False,Freestyle,0.918648330963282,0.09098948316861422,-0.589374792473051,0.546709502532103,0.6479050792263986,3
4,2017,16,1.4006583094054206,False,Freestyle,0.938967753602341,0.060008565659217306,-0.44216508377411406,0.36056093448096677,0.5159583059293773,4
5,2017,12,1.3979171035157616,False,Freestyle,0.9408089957832266,0.057267359769558324,-0.4288256926945983,0.34409042320774225,0.5042835944889048,5
6,2017,11,1.2856775520699408,False,Freestyle,1.0229415487805882,-0.05497219167626244,0.16620643081664094,-0.3302999260775621,0.026258802450737532,6
7,2017,10,1.1587485515643106,False,Freestyle,1.1349942872173406,-0.1819011921818927,0.9780036593700034,-1.0929516997417366,-0.5143279006207275,7
8,2017,9,1.065019436604718,False,Freestyle,1.2348816755303846,-0.2756303071414852,1.701665625433711,-1.6561222555891035,-0.9135173138830252,8
1,2016,20,1.4964459408903852,False,Freestyle,0.8788643481262896,0.1557961971441819,-0.877600921155436,0.9361000686117689,0.9239148776600795,1
2,2016,18,1.4893141708243356,False,Freestyle,0.8830729016825994,0.14866442707813232,-0.8471108844022585,0.8932488914294784,0.8935408886448701,2
3,2016,14,1.4405070584845865,False,Freestyle,0.9129930871219906,0.09985731473838322,-0.6303457793601336,0.599991789860439,0.6856729007061072,3
4,2016,16,1.3958682300390843,False,Freestyle,0.9421899274188908,0.055218486292881064,-0.41882114938496173,0.3317797850968553,0.49555750546783506,4
5,2016,11,1.3781697905181918,False,Freestyle,0.9542895188932821,0.0375200467719885,-0.3311622937195744,0.22543886822263706,0.42018039675354535,5
6,2016,10,1.371177841766077,False,Freestyle,0.9591556589427654,0.030528098019873662,-0.29590818872371244,0.18342780616489354,0.39040190240715095,6
7,2016,12,1.344628210299852,False,Freestyle,0.9780941499461602,0.003978466553648641,-0.15870302333441208,0.023904580998171034,0.27732783986103976,7
8,2016,9,1.2809837955549863,False,Freestyle,1.0266897917916766,-0.059665948191216955,0.1933616197999393,-0.35850232046354047,0.0062682380459786686,8
1,2018,20,1.7111567419575633,False,Freestyle,0.7685870932211053,0.37050699821136,-1.6765351654535519,2.226188012315978,1.8383615651811904,1
2,2018,18,1.4998125234345707,False,Freestyle,0.8768915886467692,0.15916277968836745,-0.8918931258834886,0.9563281499665579,0.9382530490072846,2
3,2018,0,1.2456402590931739,False,Freestyle,1.0558208734392596,-0.09500948465302939,0.40440984295084276,-0.5708636457933655,-0.14425879497772964,3
4,2018,14,1.2433171702101204,False,Freestyle,1.05779363291878,-0.09733257353608282,0.4187020476788962,-0.5848219047411435,-0.1541527589672761,4
5,2018,16,1.2076565424793189,False,Freestyle,1.089028991344518,-0.1329932012668844,0.6449952892063884,-0.7990884701480562,-0.30603027393752735,5
6,2018,12,1.1896264572924102,False,Freestyle,1.105534412323171,-0.15102328645379304,0.7645734020977577,-0.9074220770647992,-0.3828198513269455,6
7,2018,11,1.0185892538833716,False,Freestyle,1.2911710793460303,-0.32206048986283164,2.109469867007466,-1.9350975966295922,-1.1112620317989677,7
8,2018,9,0.9762288280372919,False,Freestyle,1.3471974485644065,-0.36442091570891133,2.5153684812841473,-2.1896198395842226,-1.2916737805531047,8
1,2017,20,1.5328019619865114,False,Backstroke,0.7283815797277918,0.4017012407450662,-1.967815190214923,2.4136183418834607,1.0787540515514686,1
2,2017,18,1.4854426619132504,False,Backstroke,0.751604045789009,0.35434194067180513,-1.7995735760279439,2.129060407475364,0.8770522514554319,2
3,2017,16,1.3986013986013985,False,Backstroke,0.7982722708543397,0.2675006773599533,-1.4614726398252635,1.607275447157461,0.5071979861787382,3
4,2017,14,1.350621285791464,False,Backstroke,0.8266304746021723,0.21952056455001867,-1.2560237455777015,1.3189873649277368,0.30285216376151214,4
5,2017,10,1.2324377618930245,False,Backstroke,0.9058994693303654,0.10133704065157922,-0.6817374663817637,0.608882709884549,-0.2004878238466873,5
6,2017,12,1.2091898428053205,False,Backstroke,0.9233163188762783,0.07808912156387526,-0.5555562557415288,0.4691977942576259,-0.2994999950828155,6
7,2017,8,1.2010569300984866,False,Backstroke,0.9295685212773752,0.06995620885704135,-0.5102604365373421,0.42033126039842594,-0.33413781976465684,7
8,2017,11,1.1652295502213936,False,Backstroke,0.958150017968104,0.0341288289799484,-0.30319383446106046,0.20506276619963118,-0.48672552698911825,8
9,2017,5,1.1425959780621573,False,Backstroke,0.9771299181142911,0.011495256820712063,-0.16568866901977924,0.06906914864308236,-0.5831212135820253,9
10,2017,7,1.1410314924691922,False,Backstroke,0.978469675771669,0.009930771227746993,-0.1559824220474534,0.05966895083490744,-0.5897843095280638,10
11,2017,6,1.1208249271463797,False,Backstroke,0.9961098182604782,-0.010275794095065516,-0.02818350357849803,-0.06174201767280082,-0.6758434487692404,11
12,2017,1,1.1135857461024499,False,Backstroke,1.0025853136044713,-0.01751497513899536,0.018730023454409064,-0.10523857276293774,-0.7066748978304177,12
13,2017,9,1.1018069634200087,False,Backstroke,1.0133033748634948,-0.029293757821436506,0.09637999923301568,-0.17601128403131439,-0.7568403704263647,13
14,2017,2,1.0307153164296021,False,Backstroke,1.0831940659900425,-0.1003854048118431,0.6027225496226744,-0.6031648143826069,-1.0596175049611916,14
15,2017,0,1.029654036243822,False,Backstroke,1.0843105307045242,-0.10144668499762322,0.6108110887662798,-0.6095415069651972,-1.0641374645794075,15
16,2017,0,1.0243802499487809,False,Backstroke,1.0898928542769322,-0.10672047129266438,0.6512537844843035,-0.6412290051398996,-1.086598357949582,16
17,2017,3,1.0199918400652794,False,Backstroke,1.094582006077755,-0.1111088811761658,0.6852256488874439,-0.6675967269992495,-1.1052884604572673,17
18,2017,4,1.0141987829614605,False,Backstroke,1.1008342084788516,-0.11690193827998474,0.7305214680916289,-0.7024042592225053,-1.1299609122057492,18
19,2017,0,1.012555690562981,False,Backstroke,1.1026205520220222,-0.11854503067846434,0.7434631307213972,-0.7122767653243633,-1.1369587921149704,19
20,2017,0,1.001602564102564,False,Backstroke,1.1146783709384236,-0.12949815713888113,0.8308193534723297,-0.7780885285063662,-1.1836078202958775,20
