divsRank,swimmerage,event,qualified,points,divsSpeed,numRelays,numEvents,seedSpeed,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
1.0,15,1,True,20,1.446759259259259,2,2,1.3311148086522462,15,8,Girls,200,Freestyle,0.7280621007075635,0.3495204074578946,-1.4176019295154916,1.6715401989992529,1.1530462170715996,-0.8049064948620505,-1.0684977877119963,-0.9010053273683761,0.041666666666666664,1.0
2.0,15,1,True,16,1.4354410392593127,1,2,1.3925637097897228,15,8,Girls,200,Freestyle,0.7338027523986169,0.33820218745794817,-1.3876761305184113,1.6174121443639684,1.1085689986160057,-0.8049064948620505,-1.0684977877119963,-0.9010053273683761,0.08333333333333333,0.5
3.0,17,1,True,18,1.4302059496567505,2,2,1.5174506828528072,15,8,Girls,200,Freestyle,0.7364887453916787,0.33296709785538603,-1.373674151171153,1.5923759446762584,1.0879966626931425,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.125,1.0
4.0,17,1,True,14,1.322226629644321,2,2,1.1987532965715655,15,8,Girls,200,Freestyle,0.7966339218245518,0.22498777784295654,-1.0601396332384332,1.0759775593169614,0.6636702399074004,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.16666666666666666,1.0
5.0,17,1,True,12,1.2085322375974379,1,2,1.1768859597505001,15,8,Girls,200,Freestyle,0.8715783929839025,0.1112933857960734,-0.6694569545884679,0.5322475147986305,0.21688529384087238,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.20833333333333334,0.5
6.0,16,1,True,11,1.162925921618793,2,2,1.180776951233912,15,8,Girls,200,Freestyle,0.9057589704838451,0.06568706981742856,-0.4912749036792434,0.31414067794461864,0.037666116377752586,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.25,1.0
7.0,16,1,True,0,1.099323915791788,2,2,1.1577424023154848,15,8,Girls,200,Freestyle,0.9581621671131874,0.002085063990423519,-0.2180990321003847,0.00997157305585531,-0.2122707383039068,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.2916666666666667,1.0
8.0,17,1,True,9,1.0366454154356501,0,2,1.052133200063128,15,8,Girls,200,Freestyle,1.0160953493164802,-0.06059343636571435,0.08390444401694593,-0.28978097564445093,-0.4585784927760907,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.3333333333333333,0.0
9.0,17,1,False,10,1.0334849111202975,1,2,1.067463706233988,15,8,Girls,200,Freestyle,1.0192026745437477,-0.06375394068106699,0.10010281228142098,-0.30489571544075017,-0.4709983291871564,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.375,0.5
10.0,16,1,False,0,1.0235938379650955,1,2,0.8368200836820083,15,8,Girls,200,Freestyle,1.0290513155183074,-0.07364501383626898,0.15144340322136696,-0.3521986083116169,-0.509867287511545,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.4166666666666667,0.5
11.0,15,1,False,0,0.9758477677482313,2,2,0.8725242125468982,15,8,Girls,200,Freestyle,1.0794005175058965,-0.12139108405313315,0.4139118788287928,-0.5805385678927861,-0.6974950589669193,-0.8049064948620505,-1.0684977877119963,-0.9010053273683761,0.4583333333333333,1.0
12.0,16,1,False,0,0.8632969309794103,0,2,0.8337154529159199,15,8,Girls,200,Freestyle,1.2201254837306224,-0.2339419208219542,1.1475057771792545,-1.1187996939266107,-1.1397861749154026,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.5,0.0
13.0,16,1,False,0,0.8003521549481772,0,2,0.8561643835616438,15,8,Girls,200,Freestyle,1.3160839000709854,-0.29688669685318725,1.6477333530754144,-1.4198256746939442,-1.3871403131273154,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.5416666666666666,0.0
14.0,17,1,False,0,0.7922674694977024,2,2,0.7760360080707744,15,8,Girls,200,Freestyle,1.3295138650362943,-0.30497138230366205,1.7177432498117053,-1.4584897310362366,-1.4189107082006778,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.5833333333333334,1.0
15.0,16,1,False,0,0.6966699177929497,1,2,0.8571918395336877,15,8,Girls,200,Freestyle,1.5119507224473907,-0.40056893400841476,2.6687796509666435,-1.9156737671919897,-1.7945804858699885,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.625,0.5
,16,1,False,0,,2,2,0.7591861524445794,15,8,Girls,200,Freestyle,,,,,,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,,1.0
,15,1,False,0,,2,2,0.7812194836139214,15,8,Girls,200,Freestyle,,,,,,-0.8049064948620505,-1.0684977877119963,-0.9010053273683761,,1.0
1.0,17,1,True,20,1.4742739200943535,2,2,1.4161297174821215,15,8,Girls,200,Freestyle,0.7144741361544275,0.37703506829298905,-1.4884354720957387,1.8031258250924336,1.261170602416633,-0.8049064948620505,-1.0684977877119963,1.3250078343652572,0.041666666666666664,1.0
2.0,16,1,True,18,1.4493803898833248,2,2,1.4531715469011117,15,8,Girls,200,Freestyle,0.7267454374756704,0.35214153808196036,-1.4244656448817947,1.6840754476184103,1.1633464762437815,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.08333333333333333,1.0
3.0,16,1,True,16,1.3571283164823233,0,2,1.2934100756644895,15,8,Girls,200,Freestyle,0.7761466419362965,0.25988946468095886,-1.1669390443381076,1.242890767581151,0.8008234274200926,-0.8049064948620505,-1.0684977877119963,0.2120012534984405,0.125,0.0
