divsRank,qualified,points,divsSpeed,isRelay,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,clipped_divsRank
1.0,True,20,1.446759259259259,False,0.7280621007075635,0.34952040745789437,-1.4561489120107078,1.6966832477402978,1.0748873959938787,1.0
2.0,True,16,1.4354410392593127,False,0.7338027523986169,0.33820218745794794,-1.4254093801693934,1.6417410072919725,1.0306031605677701,2.0
3.0,True,18,1.4302059496567505,False,0.7364887453916787,0.3329670978553858,-1.4110266634363007,1.6163282169668278,1.0101200863354498,3.0
4.0,True,14,1.322226629644321,False,0.7966339218245518,0.22498777784295632,-1.0889666142364676,1.092162247088379,0.587634781348961,4.0
5.0,True,12,1.2085322375974379,False,0.8715783929839025,0.11129338579607317,-0.6876606159778312,0.5402534994676756,0.14278839878559918,5.0
6.0,True,11,1.162925921618793,False,0.9057589704838451,0.06568706981742833,-0.5046334951978918,0.31886593335985397,-0.03565316125876868,6.0
7.0,True,0,1.099323915791788,False,0.9581621671131874,0.002085063990423297,-0.22402951187579503,0.010121563913099646,-0.28450556027815094,7.0
8.0,True,9,1.0366454154356501,False,1.0160953493164802,-0.06059343636571457,0.08618594707325598,-0.29413981619116375,-0.5297446054583805,8.0
9.0,False,10,1.0334849111202975,False,1.0192026745437477,-0.06375394068106721,0.10282477623506878,-0.30948190956210875,-0.5421105532104981,9.0
10.0,False,0,1.0235938379650955,False,1.0290513155183074,-0.0736450138362692,0.1555614042564072,-0.3574963252200175,-0.5808108622894786,10.0
11.0,False,0,0.9758477677482313,False,1.0794005175058965,-0.12139108405313337,0.4251668394884919,-0.589270939101882,-0.7676245321214075,11.0
12.0,False,0,0.8632969309794103,False,1.2201254837306224,-0.23394192082195442,1.1787083906810962,-1.135628505613406,-1.207996582929713,12.0
13.0,False,0,0.8003521549481772,False,1.3160839000709854,-0.29688669685318747,1.6925379963221603,-1.4411824725525857,-1.4542774716758229,13.0
14.0,False,0,0.7922674694977024,False,1.3295138650362943,-0.3049713823036623,1.7644515799876226,-1.4804281076410684,-1.4859100175917492,14.0
15.0,False,0,0.6966699177929497,False,1.5119507224473907,-0.400568934008415,2.7413482616235423,-1.944489035247936,-1.859949794683279,15.0
,False,0,,False,,,,,,
,False,0,,False,,,,,,
1.0,True,20,1.4742739200943535,False,0.7144741361544275,0.37703506829298883,-1.5289085378369403,1.8302481644377147,1.1825426384345292,1.0
2.0,True,18,1.4493803898833248,False,0.7267454374756704,0.35214153808196014,-1.4631992633504591,1.7094070496273943,1.0851429631801732,2.0
3.0,True,16,1.3571283164823233,False,0.7761466419362965,0.25988946468095864,-1.1986700810829958,1.261586137975352,0.7241928723482282,3.0
4.0,True,14,1.3142331449599158,False,0.8014792425179182,0.21699429315855112,-1.0630213213061828,1.0533593295313182,0.5563590721260558,4.0
5.0,True,12,1.2305420537746878,False,0.8559891003182891,0.13330320197332313,-0.7711367758404852,0.6470961489867372,0.22890510983056242,5.0
6.0,True,11,1.145475372279496,False,0.919557601154084,0.048236520478131206,-0.43074581315729926,0.23415541547280402,-0.10393105612739781,6.0
7.0,True,10,1.1208877430925293,False,0.9397288818666851,0.023648891291164542,-0.32273443063231116,0.11479924154695877,-0.200133847687435,7.0
8.0,True,9,1.077179942909463,False,0.9778594490623068,-0.02005890889190165,-0.11855625583311818,-0.0973723249305218,-0.3711471795782603,8.0
9.0,False,0,1.013068584743187,False,1.0397426209612788,-0.08417026705817765,0.21281025713518692,-0.4085892526680034,-0.621992496115346,9.0
10.0,False,0,0.982366520948966,False,1.0722378695243986,-0.11487233085239867,0.3868129282002462,-0.5576268373102794,-0.7421189312912945,10.0
11.0,False,0,0.9785214540828808,False,1.076451191866456,-0.11871739771848389,0.4093740524874491,-0.5762920150765133,-0.757163332825074,11.0
12.0,False,0,0.9616309260505819,False,1.0953584758764399,-0.13560792575078284,0.5106170977262758,-0.6582840113846026,-0.823250060230722,12.0
13.0,False,0,0.8156274213939072,False,1.2914359643699482,-0.2816114304074575,1.5605554192420192,-1.3670314698350643,-1.3945106977942017,13.0
14.0,False,0,0.7935878104912308,False,1.3273018708067141,-0.3036510413101339,1.7526069897368413,-1.4740187524296868,-1.4807439851767201,14.0
15.0,False,0,0.7639711218915924,False,1.3787570699090932,-0.33326772990977227,2.028134720094316,-1.6177875805963255,-1.596623726911228,15.0
1.0,True,20,1.5451174289245984,False,0.6817155549449292,0.44787857712323365,-1.704321279169949,2.174145093139648,1.4597285054228908,1.0
2.0,True,18,1.3194352816994328,False,0.7983192507613748,0.2221964298980681,-1.0799421645215868,1.078612156176229,0.5767132133331245,2.0
3.0,True,16,1.264142595284748,False,0.8332371596711778,0.16690374348338333,-0.8929668469913848,0.8102038665296375,0.3603722743390525,3.0
4.0,True,14,1.2197353174361163,False,0.863573080533993,0.12249646563475158,-0.7305267521235183,0.5946368129446508,0.1866221310399531,4.0
5.0,True,11,1.2152883271556176,False,0.8667330722905361,0.11804947535425292,-0.713605908908116,0.5730497074401032,0.1692226137554197,5.0
6.0,True,12,1.2055455093429777,False,0.8737377206842071,0.10830665754161295,-0.6760980397806392,0.5257549703781954,0.13110237596796948,6.0
7.0,True,0,1.1835019823658204,False,0.8900116782304047,0.08626313056445567,-0.5889556972213151,0.418748677912255,0.044853766355960764,7.0
8.0,True,10,1.1332086803784915,False,0.9295115751871953,0.03596982857712683,-0.37744515702878023,0.17460899068748456,-0.15192633030003172,8.0
9.0,False,9,1.121642084010992,False,0.9390968835153765,0.024403232209627257,-0.32611859927539183,0.1184610523372054,-0.19718237556329288,9.0
10.0,False,0,1.0714668381013608,False,0.9830734354606032,-0.025772013700003926,-0.09063686452770334,-0.12510555313024976,-0.3935005600866116,10.0
11.0,False,0,1.0530195335123467,False,1.000295390533764,-0.04421931828901804,0.001581730996242012,-0.21465463808865376,-0.465678409554187,11.0
12.0,False,0,0.9108712483490459,False,1.156398983307,-0.18636760345231884,0.8374713858371391,-0.9046876346902541,-1.021854921904983,12.0
13.0,False,0,0.9098767117055638,False,1.1576629800096174,-0.18736214009580088,0.8442397231233004,-0.9095154319411575,-1.0257461958738632,13.0
14.0,False,0,0.9051412020275162,False,1.1637196308763254,-0.19209764977384847,0.876671339286156,-0.9325031023856173,-1.0442745886287546,14.0
15.0,False,0,0.8074609390770722,False,1.304497263630327,-0.28977791272429254,1.6304949045323505,-1.4066741729341974,-1.4264632862333366,15.0
16.0,False,0,0.8020854220974534,False,1.3132399074900964,-0.29515342970391134,1.6773092374282974,-1.4327686424205361,-1.4474958036666088,16.0
,False,0,,False,,,,,,
1.0,True,20,1.6924769400016924,False,0.6499626940626165,0.5419239347353482,-1.8743486786141335,2.630671176834611,2.036294721740048,1.0
2.0,True,14,1.4543339150668992,False,0.7563922288862742,0.30378090980055505,-1.3044492576709075,1.4746491753961442,1.104524374340197,2.0
3.0,True,18,1.4316392269148175,False,0.7683827397863038,0.2810862216484733,-1.2402435347946168,1.3644819394387817,1.0157279988453167,3.0
4.0,True,16,1.4006583094054206,False,0.7853784639519421,0.2501053041390764,-1.1492363404424428,1.2140907101536929,0.8945105066328066,4.0
5.0,True,12,1.3979171035157616,False,0.7869185295721295,0.2473640982494174,-1.1409897338344783,1.200784024728889,0.8837851269379723,5.0
6.0,True,11,1.2856775520699408,False,0.8556164567011985,0.13512454680359665,-0.7731321747863702,0.6559375362017477,0.44463102670215077,6.0
7.0,True,10,1.1587485515643106,False,0.9493404501583109,0.008195546297966372,-0.2712672583588473,0.039783788909420525,-0.05199774891968658,7.0
8.0,True,9,1.065019436604718,False,1.0328890100534716,-0.08553356866162609,0.17611115012319892,-0.41520715234662836,-0.41872698665945796,8.0
9.0,False,0,1.052853232259423,False,1.0448245186099232,-0.09769977300692112,0.2400223513349205,-0.4742657785692875,-0.46632908817999214,9.0
10.0,False,0,1.0380443244926558,False,1.0597301537195931,-0.11250868077368836,0.3198377224334293,-0.5461529279004235,-0.5242711636962971,10.0
