id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,numRelays,numEvents,gender,distance,stroke,isRelay,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,normed_numRelays,normed_numEvents,normed_distance,clipped_divsRank,designation
1912,7.0,7.0,7.0,15.0,49,1,176.94,178.43,176.07,True,2016,10,1.1208877430925293,2.0,2.0,Girls,200,Freestyle,False,0.9397288818666851,-0.2892386609732935,0.10733680241888993,1.0,1.0,1.0,7.0,
1913,8.0,8.0,965.0,17.0,55,1,167.78,185.67,181.31,True,2016,9,1.077179942909463,0.0,2.0,Girls,200,Freestyle,False,0.9778594490623068,-0.10625160947345451,-0.09104270952748308,0.0,1.0,1.0,8.0,
1914,9.0,,966.0,15.0,38,1,192.03,197.42000000000002,,False,2016,0,1.013068584743187,0.0,2.0,Girls,200,Freestyle,False,1.0397426209612788,0.19072323239437955,-0.3820292128512641,0.0,1.0,1.0,9.0,
1915,10.0,,967.0,17.0,27,1,200.93,203.59,,False,2016,0,0.982366520948966,0.0,2.0,Girls,200,Freestyle,False,1.0722378695243986,0.34666661744327654,-0.5213787203930254,0.0,1.0,1.0,10.0,
1916,11.0,,968.0,17.0,55,1,213.37,204.39,,False,2016,0,0.9785214540828808,0.0,2.0,Girls,200,Freestyle,False,1.076451191866456,0.36688618114491556,-0.5388305821911554,0.0,1.0,1.0,11.0,
1917,12.0,,969.0,15.0,39,1,219.0,207.98,,False,2016,0,0.9616309260505819,0.0,2.0,Girls,200,Freestyle,False,1.0953584758764399,0.4576214732560239,-0.6154927498941684,0.0,1.0,1.0,12.0,
1918,13.0,,532.0,15.0,39,1,261.0,245.21,,False,2016,0,0.8156274213939072,2.0,2.0,Girls,200,Freestyle,False,1.2914359643699482,1.3985894190210832,-1.278168608091963,1.0,1.0,1.0,13.0,
1919,14.0,,137.0,15.0,39,1,245.0,252.02,,False,2016,0,0.7935878104912308,2.0,2.0,Girls,200,Freestyle,False,1.3273018708067141,1.570708455031292,-1.3782012621273596,1.0,1.0,1.0,14.0,
1920,15.0,,12.0,14.0,39,1,248.0,261.79,,False,2016,0,0.7639711218915924,2.0,2.0,Girls,200,Freestyle,False,1.3787570699090932,1.8176398767375666,-1.5126245047809734,1.0,1.0,1.0,15.0,
2630,1.0,1.0,1212.0,15.0,3,1,120.73,129.44,120.84,True,2018,20,1.5451174289245984,2.0,2.0,Girls,200,Freestyle,False,0.6817155549449292,-1.5274341931524569,2.0328164119173957,1.0,1.0,1.0,1.0,
2631,2.0,2.0,421.0,16.0,35,1,157.28,151.57999999999998,149.7,True,2018,18,1.3194352816994328,0.0,2.0,Girls,200,Freestyle,False,0.7983192507613748,-0.9678577677095779,1.0084977769364605,0.0,1.0,1.0,2.0,
2632,3.0,3.0,1213.0,15.0,30,1,161.37,158.21,154.02,True,2018,16,1.264142595284748,1.0,2.0,Girls,200,Freestyle,False,0.8332371596711778,-0.8002881335322375,0.7575371680930364,0.5,1.0,1.0,3.0,
2633,4.0,4.0,376.0,17.0,48,1,172.86,163.97,161.24,True,2018,14,1.2197353174361163,1.0,2.0,Girls,200,Freestyle,False,0.863573080533993,-0.6547072748804316,0.5559828901476634,0.5,1.0,1.0,4.0,
2634,5.0,6.0,1214.0,15.0,33,1,171.36,164.57,165.36,True,2018,11,1.2152883271556176,2.0,2.0,Girls,200,Freestyle,False,0.8667330722905361,-0.6395426021042023,0.5357990383459117,1.0,1.0,1.0,5.0,
2635,6.0,5.0,278.0,16.0,43,1,163.28,165.9,161.9,True,2018,12,1.2055455093429777,0.0,2.0,Girls,200,Freestyle,False,0.8737377206842071,-0.6059275774502256,0.49157866041431386,0.0,1.0,1.0,6.0,
2636,7.0,,7.0,17.0,49,1,174.52,168.99,,True,2018,0,1.1835019823658204,2.0,1.0,Girls,200,Freestyle,False,0.8900116782304047,-0.5278295126526424,0.3915282322301152,1.0,0.5,1.0,7.0,
