qualified,points,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-2.057891124,2.927608887,1
TRUE,14,-1.483401895,1.741805492,2
TRUE,16,-1.424717511,1.639482215,3
TRUE,18,-1.42265841,1.635945376,4
TRUE,11,-1.337205711,1.492250137,5
TRUE,12,-1.299112339,1.430075866,6
TRUE,6,-1.072611209,1.082470725,7
TRUE,10,-0.96965615,0.935951637,8
TRUE,9,-0.907883115,0.851191839,9
TRUE,4,-0.867730642,0.797309497,10
TRUE,5,-0.837873675,0.757844445,11
TRUE,7,-0.834785023,0.753790667,12
TRUE,2,-0.763746032,0.662012192,13
TRUE,1,-0.762716482,0.660702293,14
TRUE,8,-0.761686931,0.659392962,15
TRUE,3,-0.757568729,0.654161322,16
FALSE,0,-0.756539178,0.652854831,17
FALSE,0,-0.711238952,0.595925037,18
FALSE,0,-0.682411536,0.560254103,19
FALSE,0,-0.406491977,0.239248641,20
FALSE,0,-0.349866695,0.177622121,21
FALSE,0,-0.297359615,0.121675577,22
FALSE,0,-0.226320624,0.047755503,23
FALSE,0,-0.204700062,0.025651554,24
FALSE,0,-0.20161141,0.022508565,24
FALSE,0,-0.191315904,0.012058336,24
FALSE,0,-0.163518038,-0.015955976,24
FALSE,0,-0.157340735,-0.022141811,24
FALSE,0,-0.146015678,-0.033445453,24
FALSE,0,-0.123365565,-0.055909955,24
FALSE,0,-0.06159253,-0.116226187,24
FALSE,0,-0.060562979,-0.117219857,24
FALSE,0,0.019741967,-0.193584602,24
FALSE,0,0.136081184,-0.300357535,24
FALSE,0,0.19991332,-0.357090021,24
FALSE,0,0.203001972,-0.359802945,24
FALSE,0,0.283306918,-0.429322343,24
FALSE,0,0.313163885,-0.454679721,24
FALSE,0,0.320370739,-0.460761509,24
FALSE,0,0.337873099,-0.475469081,24
FALSE,0,0.340961751,-0.47805539,24
FALSE,0,0.362582313,-0.496083281,24
FALSE,0,0.37493692,-0.506325385,24
FALSE,0,0.424355349,-0.546866828,24
FALSE,0,0.424355349,-0.546866828,24
FALSE,0,0.51392625,-0.618650729,24
FALSE,0,0.54893097,-0.64612672,24
FALSE,0,0.575699285,-0.666924245,24
FALSE,0,0.676595243,-0.743695382,24
FALSE,0,0.739397829,-0.790228324,24
FALSE,0,0.942219296,-0.934313254,24
FALSE,0,0.94942615,-0.939266367,24
FALSE,0,1.168720425,-1.084865618,24
FALSE,0,1.203725145,-1.107225545,24
FALSE,0,1.257261776,-1.14097517,24
FALSE,0,1.355069082,-1.201272423,24
FALSE,0,1.386985151,-1.220577901,24
FALSE,0,1.405517061,-1.231705675,24
FALSE,0,1.458024141,-1.262912599,24
FALSE,0,1.61348628,-1.35260931,24
FALSE,0,1.984124493,-1.551428883,24
FALSE,0,2.406240235,-1.755165889,24
FALSE,0,2.874685753,-1.95722899,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.798444375,2.346539921,1
TRUE,18,-1.654307293,2.057577201,2
TRUE,16,-1.240427955,1.336468641,3
TRUE,14,-1.236309753,1.329996408,4
TRUE,11,-1.214689191,1.296221142,5
TRUE,9,-1.043783793,1.040763361,6
TRUE,7,-1.024222332,1.012767721,7
TRUE,10,-0.975833454,0.944554844,8
TRUE,12,-0.943917386,0.900355904,9
TRUE,0,-0.849198731,0.772754334,10
TRUE,8,-0.846110079,0.768680808,11
TRUE,3,-0.815223562,0.728240799,12
TRUE,6,-0.74315502,0.635921875,13
TRUE,4,-0.712268503,0.597206939,14
TRUE,0,-0.617549848,0.481533727,15
TRUE,0,-0.614461197,0.477837245,16
TRUE,1,-0.401344225,0.233589697,17
TRUE,0,-0.357073549,0.18539017,18
TRUE,5,-0.291182311,0.115167746,19
TRUE,2,-0.290152761,0.114084607,20
TRUE,0,-0.240734332,0.062592381,21
TRUE,0,-0.113070059,-0.066058675,22
TRUE,0,-0.109981408,-0.069095734,23
TRUE,0,-0.037912866,-0.138985868,24
FALSE,0,0.109312868,-0.276182413,24
FALSE,0,0.23388849,-0.386771512,24
FALSE,0,0.298750177,-0.442470814,24
FALSE,0,0.300809278,-0.444218657,24
FALSE,0,0.386261977,-0.51567623,24
FALSE,0,0.422296248,-0.545191104,24
FALSE,0,0.584965241,-0.674080775,24
FALSE,0,0.658063333,-0.729783074,24
FALSE,0,0.684831648,-0.74985188,24
FALSE,0,0.692038502,-0.755225386,24
FALSE,0,0.733220526,-0.785692874,24
FALSE,0,0.744545582,-0.794001013,24
FALSE,0,0.8629439,-0.879088806,24
FALSE,0,0.916480531,-0.916532775,24
FALSE,0,1.016346938,-0.98473658,24
FALSE,0,1.029731096,-0.993718829,24
FALSE,0,1.038997051,-0.999915778,24
FALSE,0,1.112095143,-1.048194108,24
FALSE,0,1.223286607,-1.119619429,24
FALSE,0,1.972799436,-1.545645837,24
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
FALSE,0,,,
TRUE,20,-1.676884881,2.248139278,1
TRUE,18,-1.428055896,1.753744496,2
TRUE,16,-1.271500993,1.474286422,3
TRUE,14,-1.135681839,1.249020839,4
TRUE,12,-0.841234206,0.808189355,5
TRUE,11,-0.670164279,0.578036906,6
TRUE,9,-0.611067395,0.502464293,7
TRUE,10,-0.608993821,0.499847481,8
TRUE,8,-0.604846671,0.494620849,9
TRUE,5,-0.567522323,0.447996706,10
TRUE,7,-0.559228024,0.437736288,11
TRUE,6,-0.240934281,0.069602743,12
TRUE,2,-0.217088169,0.043893115,13
TRUE,3,-0.195315633,0.020630454,14
TRUE,4,-0.152807348,-0.024215715,15
TRUE,0,0.009968279,-0.189256974,16
TRUE,1,0.147861008,-0.321298684,17
TRUE,0,0.246355815,-0.411566773,18
TRUE,0,0.272275501,-0.434787518,19
TRUE,0,0.32100451,-0.477858832,20
