divsRank,swimmerage,qualified,points,divsSpeed,numRelays,numSwimmers,numQualified,gender,distance,stroke,divsTimePctOfMean,divsSpeedDiffFromMean,normed_divsTimePctOfMean,normed_divsSpeedDiffFromMean,normed_divsSpeed,normed_numSwimmers,normed_numQualified,normed_swimmerage,clipped_divsRank,normed_numRelays
3,16,True,16,1.3571283164823233,0,15,8,Girls,200,Freestyle,0.9223643788889526,0.09058096755202283,-0.5514612675314496,0.5389968858398146,0.39723257412159496,-0.6512779470022025,-1.0238112902275098,0.05360786731537488,0.125,0.0
4,15,True,14,1.3142331449599158,1,15,8,Girls,200,Freestyle,0.9524693708307037,0.04768579602961531,-0.33761951837514975,0.2837516119928139,0.2150790756268737,-0.6512779470022025,-1.0238112902275098,-1.0911794927742544,0.16666666666666666,0.5
5,15,True,12,1.2305420537746878,0,15,8,Girls,200,Freestyle,1.0172483035951785,-0.03600529515561268,0.12251813313580719,-0.21424745713245824,-0.14031348981062647,-0.6512779470022025,-1.0238112902275098,-1.0911794927742544,0.20833333333333334,0.0
6,15,True,11,1.145475372279496,2,15,8,Girls,200,Freestyle,1.092792430983315,-0.1210719766508046,0.6591231045113888,-0.7204318980118591,-0.501547472325209,-0.6512779470022025,-1.0238112902275098,-1.0911794927742544,0.25,1.0
7,15,True,10,1.1208877430925293,2,15,8,Girls,200,Freestyle,1.1167637655232125,-0.14565960583777127,0.8293962644424973,-0.8667391844111554,-0.6059583539498997,-0.6512779470022025,-1.0238112902275098,-1.0911794927742544,0.2916666666666667,1.0
8,17,True,9,1.077179942909463,0,15,8,Girls,200,Freestyle,1.1620777242879272,-0.18936740602083746,1.15127033177963,-1.1268199587973575,-0.7915626639989876,-0.6512779470022025,-1.0238112902275098,1.1983952274050043,0.3333333333333333,0.0
1,15,True,20,1.5451174289245984,2,16,8,Girls,200,Freestyle,0.8101434837713647,0.27857007999429784,-1.3485886193760366,1.6576153872372885,1.1955246264657657,-0.5913632720556408,-1.0238112902275098,-1.0911794927742544,0.041666666666666664,1.0
2,16,True,18,1.3194352816994328,0,16,8,Girls,200,Freestyle,0.9487140703805891,0.052887932769132284,-0.3642941648395541,0.3147066302277667,0.23716984652531714,-0.5913632720556408,-1.0238112902275098,0.05360786731537488,0.08333333333333333,0.0
3,15,True,16,1.264142595284748,1,16,8,Girls,200,Freestyle,0.9902101403543543,-0.002404753645552482,-0.06953932140789619,-0.014309349537697526,0.0023705459479757547,-0.5913632720556408,-1.0238112902275098,-1.0911794927742544,0.125,0.5
4,17,True,14,1.2197353174361163,1,16,8,Girls,200,Freestyle,1.0262610246754533,-0.046812031494184225,0.18653728465037578,-0.2785523259144869,-0.18620408219006357,-0.5913632720556408,-1.0238112902275098,1.1983952274050043,0.16666666666666666,0.5
