id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,divsTimePctOfMean,normed_divsTimePctOfMean,normed_divsSpeed,clipped_divsRank,designation
1906,1.0,1.0,963.0,17.0,16,1,141.23,135.66,129.46,True,2016,20,1.4742739200943535,0.7144741361544275,-1.3702270853722067,1.711274246732942,1.0,
1907,2.0,2.0,304.0,16.0,3,1,137.63,137.99,135.76,True,2016,18,1.4493803898833248,0.7267454374756704,-1.3113376060911806,1.5982883185187042,2.0,
1908,3.0,3.0,964.0,16.0,43,1,154.63,147.37,146.87,True,2016,16,1.3571283164823233,0.7761466419362965,-1.074263221689455,1.1795776714332895,3.0,
1909,4.0,4.0,668.0,15.0,55,1,156.85,152.18,155.74,True,2016,14,1.3142331449599158,0.8014792425179182,-0.9526930949333455,0.9848864914647303,4.0,
1910,5.0,5.0,5.0,15.0,45,1,162.19,162.53,163.35,True,2016,12,1.2305420537746878,0.8559891003182891,-0.6911024895433818,0.6050321461523046,5.0,
1911,6.0,6.0,375.0,15.0,3,1,158.6,174.6,169.28,True,2016,11,1.145475372279496,0.919557601154084,-0.38603982219489247,0.21893431722400633,6.0,
1912,7.0,7.0,7.0,15.0,49,1,176.94,178.43,176.07,True,2016,10,1.1208877430925293,0.9397288818666851,-0.28923866097329193,0.10733680241888892,7.0,
1913,8.0,8.0,965.0,17.0,55,1,167.78,185.67,181.31,True,2016,9,1.077179942909463,0.9778594490623068,-0.10625160947345293,-0.09104270952748408,8.0,
1914,9.0,,966.0,15.0,38,1,192.03,197.42000000000002,,False,2016,0,1.013068584743187,1.0397426209612788,0.19072323239438116,-0.3820292128512651,9.0,
1915,10.0,,967.0,17.0,27,1,200.93,203.59,,False,2016,0,0.982366520948966,1.0722378695243986,0.34666661744327815,-0.5213787203930264,10.0,
1916,11.0,,968.0,17.0,55,1,213.37,204.39,,False,2016,0,0.9785214540828808,1.076451191866456,0.36688618114491717,-0.5388305821911564,11.0,
1917,12.0,,969.0,15.0,39,1,219.0,207.98,,False,2016,0,0.9616309260505819,1.0953584758764399,0.4576214732560256,-0.6154927498941694,12.0,
1918,13.0,,532.0,15.0,39,1,261.0,245.21,,False,2016,0,0.8156274213939072,1.2914359643699482,1.398589419021085,-1.278168608091964,13.0,
1919,14.0,,137.0,15.0,39,1,245.0,252.02,,False,2016,0,0.7935878104912308,1.3273018708067141,1.5707084550312937,-1.3782012621273605,14.0,
1920,15.0,,12.0,14.0,39,1,248.0,261.79,,False,2016,0,0.7639711218915924,1.3787570699090932,1.8176398767375685,-1.5126245047809743,15.0,
2630,1.0,1.0,1212.0,15.0,3,1,120.73,129.44,120.84,True,2018,20,1.5451174289245984,0.6817155549449292,-1.5274341931524553,2.032816411917395,1.0,
2631,2.0,2.0,421.0,16.0,35,1,157.28,151.57999999999998,149.7,True,2018,18,1.3194352816994328,0.7983192507613748,-0.9678577677095763,1.0084977769364594,2.0,
2632,3.0,3.0,1213.0,15.0,30,1,161.37,158.21,154.02,True,2018,16,1.264142595284748,0.8332371596711778,-0.800288133532236,0.7575371680930354,3.0,
2633,4.0,4.0,376.0,17.0,48,1,172.86,163.97,161.24,True,2018,14,1.2197353174361163,0.863573080533993,-0.6547072748804301,0.5559828901476624,4.0,
2634,5.0,6.0,1214.0,15.0,33,1,171.36,164.57,165.36,True,2018,11,1.2152883271556176,0.8667330722905361,-0.6395426021042008,0.5357990383459107,5.0,
2635,6.0,5.0,278.0,16.0,43,1,163.28,165.9,161.9,True,2018,12,1.2055455093429777,0.8737377206842071,-0.6059275774502242,0.49157866041431286,6.0,
2636,7.0,,7.0,17.0,49,1,174.52,168.99,,True,2018,0,1.1835019823658204,0.8900116782304047,-0.527829512652641,0.3915282322301142,7.0,
2637,8.0,7.0,1215.0,16.0,42,1,171.02,176.49,172.75,True,2018,10,1.1332086803784915,0.9295115751871953,-0.33827110294976837,0.16325866339733364,8.0,
2638,9.0,8.0,1216.0,15.0,33,1,180.94,178.31,174.93,False,2018,9,1.121642084010992,0.9390968835153765,-0.292271595528538,0.11076057992814434,9.0,
2639,10.0,,425.0,16.0,36,1,212.32,186.66,,False,2018,0,1.0714668381013608,0.9830734354606032,-0.08122989939267353,-0.11697315989979333,10.0,
2640,11.0,,423.0,16.0,50,1,197.64,189.93,,False,2018,0,1.0530195335123467,1.000295390533764,0.0014175672377790324,-0.20070117333828572,11.0,
2641,12.0,,1217.0,15.0,17,1,231.09,219.57,,False,2018,0,0.9108712483490459,1.156398983307,0.7505524023835307,-0.8458790893303788,12.0,
2642,13.0,,1218.0,15.0,33,1,266.68,219.81,,False,2018,0,0.9098767117055638,1.1576629800096174,0.7566182714940228,-0.8503930592195151,13.0,
2643,14.0,,1219.0,17.0,50,1,219.54,220.96,,False,2018,0,0.9051412020275162,1.1637196308763254,0.7856838943151301,-0.8718864332812089,14.0,
2644,15.0,,1220.0,15.0,33,1,211.66,247.69,,False,2018,0,0.8074609390770722,1.304497263630327,1.461270066496168,-1.315234366824889,15.0,
2645,16.0,,1221.0,15.0,10,1,270.22,249.35,,False,2018,0,0.8020854220974534,1.3132399074900964,1.5032256611770698,-1.3396325847724802,16.0,
2646,,,1.0,16.0,26,1,145.24,,,False,2018,0,,,,,,
18,1.0,1.0,18.0,16.0,3,2,117.1,118.17,118.21000000000001,True,2017,20,1.6924769400016924,0.6499626940626165,-1.664062951882052,2.1684339831769157,1.0,
19,2.0,4.0,19.0,15.0,3,2,137.07,137.52,134.57,True,2017,14,1.4543339150668992,0.7563922288862742,-1.1581013218443352,1.2155374694303163,2.0,
20,3.0,2.0,20.0,15.0,52,2,119.32,139.7,122.81,True,2017,18,1.4316392269148175,0.7683827397863038,-1.1010989263155386,1.1247278006331454,3.0,
21,4.0,3.0,21.0,15.0,46,2,134.6,142.79,128.54,True,2017,16,1.4006583094054206,0.7853784639519421,-1.0203019528366475,1.000761926363014,4.0,
22,5.0,5.0,22.0,17.0,26,2,139.59,143.07,134.59,True,2017,12,1.3979171035157616,0.7869185295721295,-1.0129805442366182,0.9897933685543909,5.0,
23,6.0,6.0,23.0,17.0,36,2,153.53,155.56,153.72,True,2017,11,1.2856775520699408,0.8556164567011985,-0.6863934248996112,0.5406822627116317,6.0,
24,7.0,7.0,24.0,17.0,52,2,172.09,172.6,163.74,True,2017,10,1.1587485515643106,0.9493404501583109,-0.24083341581213363,0.03279334970116953,7.0,
25,8.0,8.0,25.0,15.0,33,2,178.88,187.79,175.36,True,2017,9,1.065019436604718,1.0328890100534716,0.1563530007394379,-0.3422507940691776,8.0,
