id,divsRank,finalRank,swimmer,swimmerage,school,event,seedTime,divsTime,finalTime,qualified,year,points,divsSpeed,numRelays,numEvents,seedSpeed,teamSize,gender,distance,stroke,seedTimePctOfMean,divsTimePctOfMean,divsTimePctOfSeed,seedSpeedDiffFromMean,divsSpeedDiffFromMean,normed_seedTimePctOfMean,normed_divsTimePctOfMean,normed_seedSpeedDiffFromMean,normed_divsSpeedDiffFromMean,normed_divsTimePctOfSeed,normed_seedSpeed,normed_divsSpeed,normed_divsRank,normed_distance,normed_teamSize,clipped_divsRank,log_teamSize
1,1.0,1.0,1,15,26,1,150.25,138.24,135.59,True,2017,20,1.446759259259259,2,2,1.3311148086522462,15,Girls,200,Freestyle,0.7752054298337608,0.7280621007075635,0.9200665557404327,0.25237136280357997,0.3495204074578946,-3.771183267235295,-7.389904959164839,4.523194970761372,7.993944208270729,-6.247181839878755,3.098346848122881,4.531126668887198,-0.06934578476967339,0.045145798290379985,-0.025750174566956045,0.041666666666666664,2.70805020110221
2,2.0,3.0,2,15,33,1,143.62,139.32999999999998,138.31,True,2017,16,1.4354410392593127,1,2,1.3925637097897228,51,Girls,200,Freestyle,0.7409983616154724,0.7338027523986169,0.9701295084250103,0.31382026394105655,0.33820218745794817,-4.345045541535725,-7.233902906817832,5.624529755723369,7.735083159571004,-0.7121580773384929,3.949998665830192,4.3563445068903475,-0.06473569093973125,0.045145798290379985,0.0005388067078714572,0.08333333333333333,3.9318256327243257
3,3.0,2.0,3,17,3,1,131.8,139.84,136.89,True,2017,18,1.4302059496567505,2,2,1.5174506828528072,111,Girls,200,Freestyle,0.680013814656171,0.7364887453916787,1.0610015174506828,0.43870723700414094,0.33296709785538603,-5.36813032015278,-7.160911120857302,7.862850784691324,7.615350482121486,9.334766890828996,5.680871238786141,4.275501381470682,-0.06012559710978912,0.045145798290379985,0.04435377549925063,0.125,4.709530201312334
4,4.0,4.0,4,17,3,1,166.84,151.26,149.14,True,2017,14,1.322226629644321,2,2,1.1987532965715655,111,Girls,200,Freestyle,0.8608004919365368,0.7966339218245518,0.906617118197075,0.12000985072289927,0.22498777784295654,-2.335229250546889,-5.526467599937249,2.150909466119271,5.145736000654174,-7.734168771399055,1.2638808077000618,2.6080254883698673,-0.05551550327984698,0.045145798290379985,0.04435377549925063,0.16666666666666666,4.709530201312334
5,5.0,5.0,5,17,45,1,169.94,165.49,160.0,True,2017,12,1.2085322375974379,1,2,1.1768859597505001,10,Girls,200,Freestyle,0.8767947470612267,0.8715783929839025,0.9738142873955514,0.09814251390183393,0.1112933857960734,-2.0669075234984233,-3.489853650489579,1.7589861241275362,2.5454110770643235,-0.30476422483932586,0.960810178163283,0.8522943178354743,-0.05090540944990484,0.045145798290379985,-0.029401421966237642,0.20833333333333334,2.302585092994046
6,6.0,6.0,6,16,5,1,169.38,171.98,168.2,True,2017,11,1.162925921618793,2,2,1.180776951233912,54,Girls,200,Freestyle,0.8739054622645085,0.9057589704838451,1.0153501003660408,0.10203350538524569,0.06568706981742856,-2.1153785451587925,-2.5609973938546307,1.8287234862177875,1.5023408079213934,4.287488118656789,1.0147374235361102,0.14801656855186202,-0.0462953156199627,0.045145798290379985,0.0027295551474404156,0.25,3.9889840465642745
7,7.0,,7,16,49,1,172.75,181.93,,True,2017,0,1.099323915791788,2,2,1.1577424023154848,38,Girls,200,Freestyle,0.8912927654161875,0.9581621671131874,1.0531403762662808,0.07899895646681854,0.002085063990423519,-1.8236868612383628,-1.1369419618796246,1.4158804652658534,0.04768787416834277,8.465629116824838,0.6954898032644735,-0.8341604951412643,-0.041685221790020564,0.045145798290379985,-0.008954436530260696,0.2916666666666667,3.6375861597263857
8,8.0,8.0,8,17,30,1,190.09,192.93,196.66,True,2017,9,1.0366454154356501,0,2,1.052133200063128,6,Girls,200,Freestyle,0.9807574053717111,1.0160953493164802,1.0149402914408965,-0.026610245785538167,-0.06059343636571435,-0.32281629768339265,0.4373906764847003,-0.4769294288019066,-1.3858433995825399,4.2421791223403655,-0.7682022628249634,-1.8020762807522501,-0.037075127960078426,0.045145798290379985,-0.03232241988566292,0.3333333333333333,1.791759469228055
9,9.0,7.0,9,17,39,1,187.36,193.52,189.68,False,2017,10,1.0334849111202975,1,2,1.067463706233988,45,Girls,200,Freestyle,0.96667214198771,1.0192026745437477,1.0328778821520068,-0.011279739614678208,-0.06375394068106699,-0.5591125282776864,0.5218321543606053,-0.20216422707325665,-1.4581278631727566,6.225381980035632,-0.555728919850515,-1.8508825221259222,-0.03246503413013629,0.045145798290379985,-0.00384269017126646,0.375,3.8066624897703196
10,10.0,,10,16,33,1,239.0,195.39,,False,2017,0,1.0235938379650955,1,2,0.8368200836820083,51,Girls,200,Freestyle,1.2331054757422217,1.0290513155183074,0.817531380753138,-0.24192336216665788,-0.07364501383626898,3.9106081119748284,0.7894687028825392,-4.335937813647953,-1.6843483792727618,-17.5836012801515,-3.7523371057240706,-2.003625899666153,-0.027854940300194145,0.045145798290379985,0.0005388067078714572,0.4166666666666667,3.9318256327243257
11,11.0,,11,15,39,1,229.22,204.95,,False,2017,0,0.9758477677482313,2,2,0.8725242125468982,45,Girls,200,Freestyle,1.1826461805423936,1.0794005175058965,0.8941191868074339,-0.20621923330176806,-0.12139108405313315,3.0640963408348276,2.1577068867700815,-3.6960207710682123,-2.7763573530943213,-9.115955971608926,-3.2574952829319863,-2.740946907686534,-0.023244846470252007,0.045145798290379985,-0.00384269017126646,0.4583333333333333,3.8066624897703196
12,12.0,,12,16,39,1,239.89,231.67000000000002,,False,2017,0,0.8632969309794103,0,2,0.8337154529159199,45,Girls,200,Freestyle,1.2376973747941489,1.2201254837306224,0.9657342948851558,-0.24502799293274635,-0.2339419208219542,3.9876424142564852,5.981903986505971,-4.3915814100974115,-5.350527817897661,-1.1980984799713512,-3.7953657748508602,-4.479018670304881,-0.01863475264030987,0.045145798290379985,-0.00384269017126646,0.5,3.8066624897703196
13,13.0,,13,16,34,1,233.6,249.89,,False,2017,0,0.8003521549481772,0,2,0.8561643835616438,20,Girls,200,Freestyle,1.2052445152024394,1.3160839000709854,1.0697345890410959,-0.2225790622870224,-0.29688669685318725,3.443208974535565,8.589571320233059,-3.9892342932625335,-6.790149130585646,10.300306400203409,-3.4842345383907825,-5.451046430959692,-0.01402465881036773,0.045145798290379985,-0.022098927167674448,0.5416666666666666,2.995732273553991
14,14.0,,14,17,39,1,257.72,252.44,,False,2017,0,0.7922674694977024,2,2,0.7760360080707744,45,Girls,200,Freestyle,1.329690138946801,1.3295138650362943,0.9795126493869314,-0.3027074377778918,-0.30497138230366205,5.53092512176428,8.9545302500357,-5.4253570807662115,-6.975055428053554,0.3252539290751302,-4.594774765693783,-5.575894578645914,-0.009414564980425592,0.045145798290379985,-0.00384269017126646,0.5833333333333334,3.8066624897703196
15,15.0,,15,16,39,1,233.32,287.08,,False,2017,0,0.6966699177929497,1,2,0.8571918395336877,45,Girls,200,Freestyle,1.2037998728040802,1.5119507224473907,1.230413166466655,-0.2215516063149785,-0.40056893400841476,3.4189734637053792,13.912246849393897,-3.97081943179093,-9.161484255867077,28.06513441154865,-3.469994499431457,-7.052164413358566,-0.004804471150483453,0.045145798290379985,-0.00384269017126646,0.625,3.8066624897703196
16,,,16,16,10,1,263.44,,,False,2017,0,,2,2,0.7591861524445794,8,Girls,200,Freestyle,1.3592021193704222,,,-0.3195572934040868,,6.02602198586661,,-5.727353239838264,,,-4.8283055515421704,,,0.045145798290379985,-0.030861920925950283,,2.0794415416798357
17,,,17,15,39,1,256.01,,,False,2017,0,,2,2,0.7812194836139214,45,Girls,200,Freestyle,1.3208675014425364,,,-0.29752396223474487,,5.38291539490851,,-5.332454818610285,,,-4.5229343212489574,,,0.045145798290379985,-0.00384269017126646,,3.8066624897703196
