divsRank,finalRank,qualified,points,seedSpeed,divsSpeed,numRelays,numEvents,gender,distance,stroke,seedTimePctOfMean,divsTimePctOfMean,divsTimePctOfSeed,seedSpeedDiffFromMean,divsSpeedDiffFromMean,normed_seedTimePctOfMean,normed_divsTimePctOfMean,normed_seedSpeedDiffFromMean,normed_divsSpeedDiffFromMean,normed_divsTimePctOfSeed,normed_seedSpeed,normed_divsSpeed,normed_numRelays,normed_numEvents,normed_distance,clipped_divsRank
1.0,1.0,True,20,1.3311148086522462,1.446759259259259,2,2,Girls,200,Freestyle,0.7752054298337608,0.7280621007075635,0.9200665557404327,0.25237136280357997,0.3495204074578946,-1.0536166232582331,-1.3050189924344195,1.1019127828772537,1.5863916178892525,-0.9385155183496184,1.101912782877253,1.586391617889253,1.0,1.0,1.0,1.0
2.0,3.0,True,16,1.3925637097897228,1.4354410392593127,1,2,Girls,200,Freestyle,0.7409983616154724,0.7338027523986169,0.9701295084250103,0.31382026394105655,0.33820218745794817,-1.2139458326384427,-1.277469836890936,1.3702131514489666,1.5350208568286,-0.283600603323331,1.3702131514489662,1.5350208568286001,0.5,1.0,1.0,2.0
3.0,2.0,True,18,1.5174506828528072,1.4302059496567505,2,2,Girls,200,Freestyle,0.680013814656171,0.7364887453916787,1.0610015174506828,0.43870723700414094,0.33296709785538603,-1.499781617687322,-1.2645798650311404,1.9154990765408915,1.5112600059964372,0.9051713503463141,1.915499076540891,1.5112600059964374,1.0,1.0,1.0,3.0
4.0,4.0,True,14,1.1987532965715655,1.322226629644321,2,2,Girls,200,Freestyle,0.8608004919365368,0.7966339218245518,0.906617118197075,0.12000985072289927,0.22498777784295654,-0.6524308640398816,-0.9759455931902331,0.5239912607900611,1.021167054288789,-1.1144587413024456,0.5239912607900605,1.0211670542887894,1.0,1.0,1.0,4.0
5.0,5.0,True,12,1.1768859597505001,1.2085322375974379,1,2,Girls,200,Freestyle,0.8767947470612267,0.8715783929839025,0.9738142873955514,0.09814251390183393,0.1112933857960734,-0.5774654720219861,-0.6162901038473162,0.42851332025459665,0.5051347234271991,-0.23539696017053738,0.4285133202545961,0.5051347234271996,0.5,1.0,1.0,5.0
6.0,6.0,True,11,1.180776951233912,1.162925921618793,2,2,Girls,200,Freestyle,0.8739054622645085,0.9057589704838451,1.0153501003660408,0.10203350538524569,0.06568706981742856,-0.5910076073542514,-0.4522588933177644,0.44550230508238364,0.29813829103706313,0.30796738338916213,0.4455023050823831,0.2981382910370635,1.0,1.0,1.0,6.0
7.0,,True,0,1.1577424023154848,1.099323915791788,2,2,Girls,200,Freestyle,0.8912927654161875,0.9581621671131874,1.0531403762662808,0.07899895646681854,0.002085063990423519,-0.5095129715154422,-0.2007780697786198,0.34492804174656655,0.009463619195308175,0.8023332568117645,0.344928041746566,0.009463619195308524,1.0,1.0,1.0,7.0
8.0,8.0,True,9,1.052133200063128,1.0366454154356501,0,2,Girls,200,Freestyle,0.9807574053717111,1.0160953493164802,1.0149402914408965,-0.026610245785538167,-0.06059343636571435,-0.0901904239056642,0.07724093111892646,-0.11618659764266238,-0.27501947668464827,0.3026063336908175,-0.11618659764266294,-0.2750194766846479,0.0,1.0,1.0,8.0
9.0,7.0,False,10,1.067463706233988,1.0334849111202975,1,2,Girls,200,Freestyle,0.96667214198771,1.0192026745437477,1.0328778821520068,-0.011279739614678208,-0.06375394068106699,-0.15620833365045603,0.09215285934888581,-0.049249998616579985,-0.28936426871165527,0.5372628025243491,-0.04924999861658054,-0.2893642687116549,0.5,1.0,1.0,9.0
10.0,,False,0,0.8368200836820083,1.0235938379650955,1,2,Girls,200,Freestyle,1.2331054757422217,1.0290513155183074,0.817531380753138,-0.24192336216665788,-0.07364501383626898,1.0925700030605543,0.13941608950146844,-1.056294352444262,-0.3342575430685527,-2.2798629981337344,-1.0562943524442625,-0.3342575430685523,0.5,1.0,1.0,10.0
11.0,,False,0,0.8725242125468982,0.9758477677482313,2,2,Girls,200,Freestyle,1.1826461805423936,1.0794005175058965,0.8941191868074339,-0.20621923330176806,-0.12139108405313315,0.8560662824363543,0.3810398757360635,-0.900401720409227,-0.5509658209344441,-1.2779545248136868,-0.9004017204092276,-0.5509658209344438,1.0,1.0,1.0,11.0
12.0,,False,0,0.8337154529159199,0.8632969309794103,0,2,Girls,200,Freestyle,1.2376973747941489,1.2201254837306224,0.9657342948851558,-0.24502799293274635,-0.2339419208219542,1.1140923252850472,1.0563733033708307,-1.0698499012563887,-1.0618078210771353,-0.3410980290167809,-1.0698499012563893,-1.061807821077135,0.0,1.0,1.0,12.0
13.0,,False,0,0.8561643835616438,0.8003521549481772,0,2,Girls,200,Freestyle,1.2052445152024394,1.3160839000709854,1.0697345890410959,-0.2225790622870224,-0.29688669685318725,0.9619851266422845,1.5168738666756751,-0.971832585164544,-1.3474994801482685,1.0194158871116368,-0.9718325851645446,-1.3474994801482683,0.0,1.0,1.0,13.0
14.0,,False,0,0.7760360080707744,0.7922674694977024,2,2,Girls,200,Freestyle,1.329690138946801,1.3295138650362943,0.9795126493869314,-0.3027074377778918,-0.30497138230366205,1.5452642413105577,1.5813237259746522,-1.3216919362562,-1.38419398198061,-0.16085197112670702,-1.3216919362562005,-1.3841939819806097,1.0,1.0,1.0,14.0
